#{"t_start": 1522684762.9629261, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,178,5.254811
1.0,171,7.265279
1.0,173,9.249446
1.0,155,11.054094
2.0,199,13.389669
0.0,129,14.853255
2.0,206,17.206185
1.0,175,19.214467
4.0,301,22.84256
1.0,173,24.842697
0.0,125,26.230802
0.0,125,27.644202
0.0,129,29.107951
2.0,202,31.491006
1.0,173,33.513808
2.0,200,35.830082
0.0,125,37.253006
0.0,129,38.69761
0.0,129,40.131805
0.0,127,41.570441
2.0,222,44.16233
1.0,177,46.202823
2.0,224,48.962288
1.0,174,51.0267
1.0,173,53.038704
0.0,129,54.465219
0.0,127,55.869502
0.0,127,57.333568
3.0,272,60.649427
0.0,129,62.06771
0.0,127,63.514219
0.0,127,64.943369
1.0,174,66.966666
2.0,219,69.55136
0.0,127,70.979723
0.0,127,72.362897
2.0,224,75.017175
5.0,330,79.053492
1.0,155,80.857013
6.0,377,85.380019
2.0,202,87.729859
0.0,127,89.157691
2.0,206,91.617148
0.0,127,93.057227
1.0,174,95.090717
0.0,127,96.539059
1.0,176,98.575535
1.0,173,100.647944
2.0,223,103.287105
3.0,252,106.331736
2.0,219,108.966803
4.0,299,112.622463
2.0,183,114.774399
3.0,251,117.78844
0.0,129,119.303039
0.0,129,120.799944
1.0,174,122.895248
3.0,250,125.886378
3.0,230,128.673966
1.0,153,131.038477
2.0,223,135.425636
0.0,129,138.084638
0.0,129,140.655908
2.0,222,144.747287
2.0,222,149.200616
0.0,125,151.772501
1.0,159,154.604632
0.0,129,156.737948
0.0,125,159.253026
2.0,202,162.731236
2.0,204,166.417261
1.0,155,169.25388
0.0,129,171.208269
1.0,153,174.034596
1.0,174,177.346622
2.0,202,181.134785
0.0,127,183.310272
2.0,226,187.896652
2.0,202,191.656631
1.0,172,194.780318
0.0,127,197.459821
0.0,127,199.717206
3.0,248,204.607517
0.0,127,207.267343
0.0,125,209.139509
2.0,199,212.293999
0.0,127,215.132649
0.0,127,217.484515
2.0,202,221.304079
0.0,129,223.534546
0.0,127,225.950091
0.0,129,228.20015
0.0,129,230.747223
2.0,200,234.325737
0.0,129,236.764861
0.0,127,239.153951
3.0,272,244.566429
2.0,202,248.064711
0.0,129,250.568595
4.0,299,255.79173
0.0,129,258.083478
3.0,271,263.789853
5.0,348,270.374859
0.0,125,272.509036
4.0,299,278.175338
0.0,129,280.1808
3.0,248,285.069198
1.0,155,287.912904
2.0,202,291.469623
4.0,299,298.21339
2.0,202,302.232932
1.0,172,305.653293
0.0,129,307.802059
0.0,129,310.095584
2.0,221,314.142396
4.0,277,319.646615
4.0,299,325.358562
5.0,334,331.577204
2.0,201,335.396764
5.0,352,341.950569
0.0,127,344.292963
0.0,125,346.829088
0.0,129,348.813079
1.0,157,352.016833
0.0,127,354.133009
0.0,129,356.520132
0.0,127,358.674145
0.0,129,360.854291
2.0,202,364.878041
0.0,127,367.106829
3.0,230,371.865947
2.0,200,375.791809
0.0,127,378.127887
2.0,202,382.380816
0.0,127,384.800473
0.0,129,387.306515
0.0,127,389.631592
0.0,125,391.670368
3.0,270,396.182602
6.0,398,403.753539
0.0,127,406.228253
2.0,198,409.863901
0.0,127,412.293752
4.0,297,418.030968
5.0,350,424.509949
5.0,350,431.022616
9.0,404,438.801615
5.0,350,445.968175
6.0,399,453.524734
5.0,350,460.8229
4.0,299,466.352027
2.0,200,470.300872
0.0,129,472.305593
2.0,202,475.639905
0.0,129,478.141083
3.0,246,482.796058
3.0,248,488.021447
2.0,202,491.794181
0.0,129,494.187676
2.0,198,497.415802
0.0,125,499.536176
0.0,129,501.802479
3.0,248,506.309657
3.0,248,510.798746
0.0,127,512.701921
5.0,350,518.849039
0.0,125,521.233267
0.0,129,523.206326
0.0,129,525.255924
3.0,248,529.886368
9.0,404,537.097155
2.0,202,541.110785
0.0,127,543.637831
5.0,350,551.041448
0.0,127,552.973955
2.0,202,557.123478
0.0,127,559.741854
3.0,271,564.948419
0.0,129,567.142377
0.0,129,569.572897
5.0,352,575.992575
0.0,127,578.487706
0.0,125,580.65024
0.0,127,583.174222
0.0,127,585.663114
0.0,129,587.868346
0.0,125,590.44111
5.0,350,597.518324
0.0,125,599.551765
0.0,129,601.742508
9.0,404,609.890388
10.0,432,618.076847
0.0,129,620.318992
2.0,202,624.019073
2.0,198,627.211935
0.0,129,629.560225
0.0,125,631.812086
5.0,350,638.191572
0.0,129,640.59057
2.0,202,644.704884
0.0,129,646.960227
2.0,202,650.496926
2.0,200,654.097715
5.0,350,661.041938
5.0,329,667.840533
5.0,350,674.483875
2.0,202,678.678794
0.0,127,680.760157
2.0,202,684.502293
0.0,127,686.959259
0.0,127,689.304183
0.0,129,691.285186
0.0,129,693.778865
0.0,125,696.12253
2.0,202,699.717122
9.0,380,706.577322
0.0,129,708.735073
0.0,127,711.029025
0.0,125,713.230429
2.0,198,716.576813
0.0,127,718.938146
2.0,200,722.318288
9.0,404,730.155563
2.0,202,733.957345
9.0,404,741.591392
9.0,382,749.121784
0.0,129,751.169381
2.0,202,754.734789
1.0,157,757.621662
7.0,433,766.519457
5.0,350,772.75093
6.0,393,780.464814
5.0,350,787.607799
2.0,198,791.302983
0.0,129,793.939597
2.0,200,797.852782
5.0,350,804.52925
2.0,202,808.43284
9.0,404,816.821508
2.0,202,820.2369
3.0,248,825.342515
5.0,352,832.055164
0.0,127,834.581889
0.0,129,836.437666
0.0,127,839.089265
2.0,202,842.788588
