norm_grads,norm_grads_q,avg_norm_k,norm_grads_policy,loss,fps,mean_episode_length,loss_f,avg_norm_grads_f,total_timesteps,loss_policy,avg_norm_k_dot_g,loss_q,loss_bc,avg_norm_adj,mean_episode_reward,avg_norm_g,entropy,explained_variance
1.0423517227172852,1.0237812995910645,1.9999921321868896,0.19801722466945648,0.0375613197684288,0,0,-0.04138811677694321,1.5196409225463867,0,-0.04138811677694321,1.601173758506775,0.1856245994567871,-0.0,0.11937235295772552,0,1.6010684967041016,1.3862861394882202,-0.13607454299926758
0.17700952291488647,0.16063076257705688,1.9999967813491821,0.07457881420850754,-0.015421668067574501,1189,29.675,-0.014243649318814278,0.4575919806957245,32000,-0.014243649318814278,0.4532058835029602,0.025369584560394287,-0.0,0.0002774056629277766,0.15,0.4578530192375183,1.386281132698059,-0.09198713302612305
0.20413097739219666,0.1923564374446869,2.0002646446228027,0.06858950853347778,-0.050025034695863724,1224,36.425,-0.05057217925786972,0.5995606780052185,64000,-0.05057217925786972,0.5945225358009338,0.02881830371916294,-0.0,3.64762163371779e-05,0.35,0.5995959043502808,1.3862007856369019,0.04481041431427002
0.3908843398094177,0.3821549415588379,2.0001299381256104,0.08372119814157486,-0.11765570193529129,1237,33.475,-0.11284177005290985,0.515190839767456,96000,-0.11284177005290985,0.5134470462799072,0.01809518039226532,-0.0,0.003998156636953354,0.275,0.5189343094825745,1.3861525058746338,-0.07845735549926758
0.16797855496406555,0.16134661436080933,2.0000386238098145,0.04672862961888313,0.07410209625959396,1243,33.7,0.05054774880409241,0.9719773530960083,128000,0.05054774880409241,0.9781326055526733,0.07483403384685516,-0.0,0.010335845872759819,0.25,0.9815295338630676,1.3862667083740234,-0.0088578462600708
0.28021684288978577,0.2710515260696411,2.003566265106201,0.07076095789670944,-0.06783837825059891,1240,30.15,-0.06593985855579376,0.5442522764205933,160000,-0.06593985855579376,0.5455408096313477,0.023908231407403946,-0.0,0.004072658251971006,0.175,0.5481668710708618,1.385263204574585,-0.030884265899658203
0.11940490454435349,0.0992092564702034,2.0052952766418457,0.06382829695940018,0.04408399760723114,1129,34.575,0.03986690193414688,0.5378769040107727,192000,0.03986690193414688,0.5324689149856567,0.036119382828474045,-0.0,2.1153120997041697e-06,0.325,0.5378791093826294,1.3842599391937256,-0.014802336692810059
0.041626520454883575,0.031552840024232864,1.9998245239257812,0.02444307506084442,-0.012634316459298134,1064,33.2,-0.018129603937268257,0.6632030606269836,224000,-0.018129603937268257,0.66273033618927,0.038651201874017715,-0.0,0.002341989427804947,0.275,0.6653434038162231,1.3830313682556152,-0.005524158477783203
0.022651521489024162,0.022247491404414177,1.9995603561401367,0.004495724570006132,-0.03326573222875595,1017,33.35,-0.025932088494300842,0.33831554651260376,256000,-0.025932088494300842,0.3347190022468567,0.013017714023590088,-0.0,0.0,0.25,0.338315486907959,1.3842500448226929,0.09811222553253174
0.06258731335401535,0.058950506150722504,2.0002944469451904,0.021464863792061806,-0.03370779752731323,987,35.125,-0.03890221193432808,0.6498265862464905,288000,-0.03890221193432808,0.6473744511604309,0.038036592304706573,-0.0,0.0027115908451378345,0.3,0.6523626446723938,1.3823882341384888,-0.03592681884765625
