#{"t_start": 1522684763.0615351, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,206,5.499632
0.0,123,6.917895
0.0,127,8.321861
0.0,129,9.766428
0.0,127,11.231182
4.0,300,14.837404
0.0,127,16.240662
3.0,252,19.182443
1.0,155,20.943644
1.0,153,22.683361
0.0,127,24.168177
2.0,201,26.476107
0.0,129,27.949323
0.0,127,29.40754
2.0,224,32.030048
0.0,129,33.506514
1.0,174,35.503054
0.0,127,36.942964
0.0,129,38.393706
1.0,174,40.402586
2.0,201,42.763243
3.0,274,45.997063
0.0,129,47.524585
0.0,129,48.998897
1.0,157,50.834822
2.0,200,53.215552
0.0,127,54.62002
0.0,129,56.081388
0.0,123,57.46004
1.0,155,59.281834
0.0,127,60.702989
1.0,175,62.720038
2.0,201,65.106613
11.0,471,70.882758
0.0,125,72.231428
2.0,221,74.826831
0.0,127,76.256892
4.0,301,79.921529
0.0,129,81.388032
0.0,129,82.846331
0.0,127,84.238532
2.0,201,86.593783
1.0,157,88.40024
0.0,129,89.888273
0.0,125,91.273357
4.0,319,95.187239
2.0,222,97.791946
0.0,127,99.268687
4.0,300,102.897613
0.0,129,104.366957
1.0,159,106.214199
8.0,372,110.82783
2.0,202,113.221431
1.0,177,115.27416
0.0,129,116.742631
0.0,129,118.255954
0.0,125,119.709539
0.0,123,121.102823
3.0,252,124.20144
0.0,125,125.596412
0.0,127,127.042351
0.0,129,128.535493
0.0,127,130.005966
0.0,125,132.580809
2.0,222,137.03167
2.0,188,140.948
1.0,172,144.241143
0.0,127,146.730529
2.0,185,150.29765
1.0,172,153.51377
0.0,127,155.958692
1.0,178,159.201032
1.0,169,162.164295
3.0,216,166.047662
3.0,238,170.318563
1.0,153,172.967212
1.0,155,175.983922
1.0,172,178.913138
2.0,202,182.813099
2.0,192,186.66401
3.0,251,191.451783
0.0,129,193.723287
0.0,129,196.364505
1.0,173,199.580546
0.0,129,201.77287
2.0,203,206.137006
2.0,223,209.772987
1.0,153,212.263816
4.0,280,218.186098
0.0,125,220.512263
2.0,205,224.374101
2.0,202,228.171967
2.0,200,232.015715
5.0,350,239.031424
1.0,173,242.46593
0.0,125,244.711518
2.0,206,248.358715
4.0,299,253.758614
1.0,173,256.787758
0.0,129,259.174644
3.0,232,264.062572
10.0,409,271.970262
0.0,129,273.758929
3.0,250,278.553549
0.0,127,280.850574
6.0,379,288.200464
0.0,125,290.565454
0.0,127,292.882325
0.0,129,295.724452
0.0,129,298.168307
0.0,127,300.653228
0.0,129,303.155525
0.0,127,305.534727
0.0,129,307.68449
3.0,248,312.315595
4.0,298,318.149712
5.0,352,324.980941
0.0,127,327.269787
3.0,248,331.848458
2.0,220,335.871353
3.0,248,340.606164
0.0,127,342.618043
0.0,129,345.055183
1.0,155,347.830942
0.0,129,350.385288
0.0,127,352.800547
0.0,127,354.822489
5.0,350,361.504082
0.0,129,364.129665
2.0,202,367.591863
1.0,157,371.008749
0.0,125,373.219752
0.0,127,375.720051
1.0,174,379.216284
0.0,129,381.515052
2.0,198,385.788256
0.0,127,388.169269
0.0,127,390.316986
4.0,299,395.456517
11.0,482,404.618486
0.0,125,406.957863
0.0,127,409.30942
0.0,129,411.601109
0.0,127,413.844115
0.0,129,416.235745
0.0,129,418.744018
0.0,127,420.593221
3.0,249,425.607916
0.0,127,427.807667
0.0,129,429.769353
0.0,127,431.976915
0.0,129,434.633888
5.0,346,440.784355
0.0,125,443.419427
0.0,127,445.838397
0.0,125,448.277159
0.0,125,450.251019
5.0,352,456.864437
0.0,129,459.356115
0.0,127,461.883788
0.0,127,464.180912
0.0,129,466.343585
2.0,202,470.563878
0.0,127,472.310166
0.0,127,474.48887
0.0,127,476.673887
2.0,200,480.251632
0.0,125,482.646075
0.0,129,485.042804
0.0,127,487.638872
2.0,202,491.171211
5.0,326,497.354887
3.0,248,501.949328
0.0,129,504.018442
4.0,299,509.669623
13.0,457,517.705967
10.0,453,525.858543
2.0,220,529.866014
2.0,202,533.553618
9.0,404,541.095191
0.0,127,543.856544
0.0,127,546.116818
4.0,319,552.535014
1.0,171,555.598897
5.0,350,562.973183
2.0,202,566.875761
0.0,125,569.079415
0.0,125,571.150298
1.0,157,573.794756
8.0,375,581.222745
0.0,129,584.013406
3.0,248,588.791641
0.0,129,591.380837
2.0,202,595.247172
0.0,127,597.533961
2.0,198,600.948241
0.0,127,603.462572
0.0,129,605.715108
0.0,129,608.112486
4.0,297,613.9341
2.0,200,617.445374
5.0,350,623.995423
0.0,127,625.783078
0.0,127,628.279491
0.0,129,630.428571
4.0,297,635.770153
2.0,200,639.694147
9.0,404,647.86441
9.0,404,655.606802
10.0,455,664.334756
10.0,433,673.000213
0.0,125,675.498323
4.0,297,681.087907
0.0,129,683.516787
0.0,129,685.601994
0.0,125,688.13937
5.0,350,694.886554
2.0,202,698.498976
5.0,350,704.773521
0.0,129,707.182992
0.0,125,709.071944
0.0,129,711.439701
0.0,125,713.768034
2.0,202,717.177125
0.0,127,719.643351
0.0,127,721.53045
5.0,350,728.181768
0.0,129,730.658851
0.0,125,732.655773
0.0,127,735.035846
5.0,350,741.523705
0.0,127,743.764929
2.0,202,747.623634
0.0,129,749.915924
5.0,350,756.359598
0.0,127,758.426457
0.0,129,760.636289
0.0,127,763.426537
0.0,129,765.952132
5.0,352,772.359405
0.0,125,774.41764
0.0,129,776.440648
0.0,129,779.049465
0.0,129,781.746853
4.0,297,787.557015
5.0,350,794.583727
0.0,129,797.313328
2.0,198,800.900697
0.0,129,803.256026
0.0,129,805.478842
0.0,129,807.859859
5.0,350,814.853992
5.0,350,821.823176
4.0,297,827.749845
0.0,129,830.192755
0.0,129,832.060108
0.0,129,834.605571
3.0,248,839.285535
4.0,301,845.086293
0.0,129,847.315193
0.0,129,849.71883
0.0,129,851.901147
0.0,129,854.697647
0.0,129,856.982498
0.0,125,859.484097
0.0,127,861.984837
2.0,202,865.742517
0.0,127,867.850567
0.0,127,870.207628
2.0,202,873.612286
2.0,200,877.468643
0.0,127,878.991329
1.0,173,882.033724
1.0,173,885.236137
2.0,202,889.232909
1.0,155,892.546411
0.0,129,894.727509
0.0,127,896.949092
9.0,404,905.267535
0.0,127,907.829777
5.0,350,914.729466
0.0,127,917.036861
0.0,125,918.93284
0.0,127,921.213122
1.0,155,924.173594
0.0,129,926.745714
1.0,154,929.649208
9.0,404,937.291903
0.0,129,939.721265
0.0,125,941.89648
2.0,200,945.873107
5.0,350,952.135492
0.0,129,954.660547
11.0,502,964.739078
1.0,157,967.415967
4.0,300,972.985888
3.0,245,977.757367
2.0,202,981.387036
10.0,450,990.762404
2.0,202,994.741871
2.0,202,998.817531
2.0,185,1002.2478
2.0,188,1005.66082
0.0,129,1008.46205
0.0,127,1010.462987
11.0,457,1018.640609
2.0,202,1022.585674
1.0,157,1025.444514
2.0,201,1028.846617
1.0,157,1032.135976
0.0,129,1034.75402
2.0,223,1038.805176
1.0,157,1041.544163
2.0,201,1045.211454
0.0,129,1047.727926
2.0,183,1051.224029
3.0,270,1056.530361
2.0,203,1060.701679
0.0,125,1062.836882
0.0,127,1064.897393
0.0,129,1067.064781
1.0,155,1069.630469
2.0,183,1073.038844
1.0,155,1075.671687
1.0,155,1078.604392
1.0,157,1081.528719
1.0,155,1084.375838
3.0,270,1089.656368
6.0,397,1097.059279
1.0,155,1099.889044
0.0,129,1102.501651
11.0,500,1112.135592
5.0,350,1118.681463
3.0,248,1123.223986
3.0,239,1127.645348
10.0,451,1136.032327
1.0,155,1138.838328
2.0,204,1142.423572
7.0,408,1150.278148
0.0,129,1153.024666
1.0,174,1155.954598
4.0,299,1161.579014
4.0,262,1166.193296
5.0,350,1172.639017
4.0,302,1178.208055
0.0,127,1180.290802
2.0,204,1184.633783
4.0,247,1189.384238
3.0,214,1193.636248
6.0,399,1201.186002
11.0,484,1211.205633
2.0,199,1215.001816
1.0,178,1218.427731
5.0,291,1224.48271
8.0,472,1233.896966
9.0,330,1239.622067
7.0,428,1247.365346
0.0,129,1249.79838
0.0,129,1252.407011
11.0,271,1257.414702
0.0,127,1259.639199
8.0,444,1268.764393
0.0,127,1271.257931
3.0,218,1275.431943
2.0,203,1279.095284
3.0,216,1283.394078
0.0,129,1285.876665
1.0,155,1288.493
0.0,129,1290.782713
0.0,129,1292.879151
4.0,245,1297.687438
1.0,176,1301.026182
11.0,416,1308.193581
2.0,185,1311.990001
0.0,129,1314.127501
1.0,157,1316.942926
2.0,183,1320.956882
6.0,398,1328.314084
5.0,350,1334.67806
2.0,204,1338.594615
7.0,407,1346.241004
2.0,201,1349.793919
1.0,155,1352.87674
1.0,174,1356.01025
0.0,127,1358.668102
7.0,409,1366.14854
1.0,153,1368.776845
10.0,431,1376.834764
2.0,185,1380.824244
1.0,154,1383.605187
10.0,358,1390.750813
3.0,231,1394.567936
5.0,296,1400.161165
11.0,523,1410.080658
3.0,214,1414.484242
9.0,403,1422.090747
8.0,353,1428.469943
14.0,372,1436.079148
0.0,125,1438.090716
6.0,372,1445.479707
0.0,129,1447.40057
7.0,401,1455.014914
8.0,422,1463.602927
5.0,332,1470.149782
7.0,387,1477.739335
2.0,222,1482.124881
8.0,302,1487.569607
5.0,309,1494.206874
