#{"t_start": 1522684762.7756608, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,171,5.308349
2.0,202,7.747309
0.0,125,9.125883
2.0,198,11.456655
1.0,176,13.526259
1.0,173,15.540043
2.0,222,18.100025
0.0,129,19.563749
0.0,129,20.962534
0.0,125,22.351127
0.0,127,23.845899
0.0,127,25.247749
1.0,155,27.007517
1.0,153,28.734834
0.0,125,30.18588
0.0,127,31.583591
3.0,215,34.169952
2.0,202,36.522834
1.0,175,38.567843
3.0,251,41.53794
1.0,173,43.546572
0.0,127,44.954474
0.0,127,46.353755
0.0,125,47.827209
1.0,153,49.651771
1.0,157,51.47189
0.0,127,52.88818
1.0,153,54.616223
1.0,171,56.619975
1.0,173,58.642392
2.0,220,61.246418
0.0,129,62.707554
3.0,268,65.928347
1.0,155,67.712577
2.0,218,70.30365
0.0,127,71.705019
4.0,281,75.008063
1.0,153,76.817136
1.0,173,78.836859
1.0,171,80.829473
0.0,125,82.214495
2.0,202,84.57567
4.0,300,88.18881
1.0,153,89.970523
3.0,276,93.285514
1.0,175,95.332636
0.0,127,96.780342
0.0,127,98.217669
3.0,253,101.26581
0.0,129,102.714931
0.0,127,104.178305
2.0,204,106.592189
2.0,205,109.065001
2.0,198,111.414135
0.0,129,112.88755
0.0,129,114.338438
3.0,216,116.89304
0.0,129,118.375
0.0,127,119.857161
6.0,380,124.616049
0.0,129,126.080647
0.0,127,127.543518
1.0,157,129.388988
3.0,248,134.249984
1.0,155,137.160703
0.0,125,139.575404
1.0,155,142.508726
0.0,129,144.87536
0.0,127,147.486102
0.0,127,149.540507
1.0,173,153.152161
4.0,300,158.999048
0.0,127,161.13945
6.0,360,167.812325
4.0,270,172.479792
1.0,153,175.369452
0.0,125,177.837244
1.0,173,180.819715
2.0,199,184.721061
0.0,129,187.245685
2.0,217,191.33351
4.0,299,197.144059
3.0,268,202.358516
1.0,173,205.875808
6.0,376,212.513331
1.0,171,216.341049
0.0,127,218.490422
0.0,127,220.837506
1.0,178,224.068233
0.0,127,226.577946
3.0,234,231.174618
0.0,127,233.386095
2.0,200,237.324932
0.0,127,239.75255
0.0,127,242.024025
1.0,154,244.800124
3.0,230,249.098459
0.0,127,251.371694
0.0,125,253.359335
3.0,270,258.229511
1.0,173,261.75142
0.0,127,264.253348
2.0,202,268.199833
7.0,430,276.036635
1.0,155,278.745153
0.0,127,281.043806
4.0,301,286.736368
0.0,123,288.892264
2.0,200,292.981397
0.0,129,295.425495
1.0,175,298.994182
1.0,175,302.513559
1.0,174,305.963503
2.0,200,309.608837
0.0,127,311.787107
