#{"t_start": 1522684763.0379345, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,4.906845
2.0,206,7.346659
0.0,125,8.75299
0.0,127,10.16061
0.0,127,11.62547
1.0,153,13.377225
9.0,402,18.209363
0.0,125,19.606607
3.0,248,22.538399
0.0,127,23.992105
2.0,204,26.349929
2.0,206,28.776235
0.0,129,30.2659
0.0,129,31.713845
0.0,127,33.146078
1.0,173,35.170696
3.0,270,38.384143
1.0,178,40.470336
1.0,155,42.232102
1.0,176,44.253802
0.0,129,45.659569
1.0,174,47.747754
0.0,127,49.234302
1.0,169,51.238137
2.0,204,53.612117
0.0,129,55.059239
4.0,302,58.719986
1.0,157,60.576854
0.0,127,61.963962
0.0,123,63.369097
9.0,405,68.296929
3.0,250,71.250241
2.0,189,73.438903
0.0,127,74.851681
0.0,129,76.319095
5.0,350,80.616595
1.0,173,82.608944
1.0,157,84.383043
0.0,123,85.779902
1.0,157,87.559482
1.0,175,89.624434
1.0,173,91.672341
5.0,328,95.61664
0.0,127,97.054761
1.0,171,99.070401
0.0,129,100.553023
1.0,175,102.601707
1.0,173,104.638448
0.0,127,106.053974
0.0,129,107.54642
1.0,159,109.424304
2.0,185,111.607903
3.0,250,114.610363
0.0,127,116.019897
0.0,129,117.49236
2.0,202,119.961669
3.0,231,122.801017
4.0,287,126.264197
4.0,280,129.709815
1.0,178,133.084372
0.0,129,135.879027
0.0,125,138.357839
1.0,155,141.243957
3.0,252,146.497058
0.0,127,148.483517
0.0,129,151.158745
0.0,127,153.44542
1.0,155,156.299693
0.0,129,158.720416
0.0,127,160.859119
3.0,252,165.23557
1.0,155,168.246544
1.0,153,170.746469
3.0,274,176.032459
2.0,226,179.947457
4.0,299,186.11609
2.0,198,189.991209
4.0,299,195.799524
0.0,127,198.175387
7.0,432,207.167869
0.0,129,209.104208
1.0,173,211.803743
2.0,202,216.148006
0.0,125,218.521317
3.0,250,223.011509
0.0,129,225.468223
1.0,175,228.627422
6.0,379,236.325899
4.0,282,242.045544
1.0,173,245.13728
0.0,129,247.291043
0.0,127,249.774065
0.0,123,251.926826
1.0,173,254.807396
2.0,222,258.714803
2.0,200,262.830989
2.0,198,267.037499
2.0,222,270.795485
3.0,250,275.120466
2.0,202,279.020042
0.0,129,281.338566
0.0,127,283.631578
4.0,297,289.328641
1.0,177,292.778736
2.0,224,297.422415
0.0,129,299.868575
0.0,127,302.603643
0.0,129,304.783324
0.0,125,307.188277
2.0,224,311.332416
1.0,173,314.208791
0.0,127,316.604706
1.0,176,320.169466
8.0,352,326.93541
10.0,433,334.97223
0.0,129,337.229538
0.0,129,339.697868
2.0,200,343.28932
1.0,155,346.371687
2.0,200,350.10042
0.0,127,352.444778
0.0,129,354.685828
2.0,202,358.370905
0.0,125,360.580174
0.0,129,362.838996
0.0,127,365.219226
1.0,171,368.471785
3.0,230,373.166874
0.0,125,375.595461
2.0,200,379.431295
2.0,202,383.709034
3.0,249,388.817288
0.0,125,390.867615
0.0,129,393.079173
7.0,324,398.711186
0.0,127,400.818173
4.0,299,406.645273
0.0,125,409.02487
0.0,127,411.412802
1.0,175,414.454381
2.0,198,418.376665
0.0,123,420.177447
0.0,127,422.490036
2.0,202,426.493708
2.0,202,429.963428
2.0,202,433.880182
0.0,129,436.223878
2.0,198,439.706344
0.0,129,442.033119
5.0,352,449.210276
10.0,454,457.681239
0.0,129,460.446338
3.0,271,465.721033
0.0,129,467.976862
4.0,297,473.446033
0.0,125,475.394662
10.0,454,484.4533
0.0,129,486.932037
0.0,125,489.297655
0.0,127,491.66362
5.0,352,498.035381
0.0,125,500.214334
2.0,200,503.687123
0.0,127,505.761273
3.0,248,510.382965
0.0,127,512.31285
0.0,129,514.454361
0.0,129,516.695673
2.0,202,520.100314
0.0,129,522.23016
0.0,129,524.376067
0.0,127,526.436429
0.0,129,528.870049
0.0,127,531.169589
0.0,127,533.230309
0.0,127,535.197121
3.0,246,539.551664
2.0,202,543.994835
3.0,248,549.370382
6.0,382,556.575873
0.0,127,559.403643
9.0,419,567.3885
0.0,125,569.689832
0.0,125,571.588492
0.0,129,573.857107
0.0,127,576.252906
0.0,129,578.576902
1.0,173,581.795297
4.0,297,588.013999
5.0,344,594.952925
5.0,350,601.634134
0.0,125,603.942176
0.0,129,606.076135
0.0,125,608.625355
5.0,350,615.217447
0.0,129,617.525162
0.0,127,619.775511
5.0,350,626.022068
0.0,127,628.362563
0.0,123,630.431591
2.0,202,634.007636
2.0,202,637.755497
0.0,129,640.097163
2.0,202,644.074791
0.0,127,646.171476
0.0,127,648.776478
9.0,404,656.5302
0.0,125,658.594745
9.0,404,666.868856
2.0,202,670.421839
5.0,350,677.446057
0.0,125,679.54176
0.0,129,681.988648
0.0,127,684.314754
4.0,297,690.075695
5.0,350,696.895499
2.0,202,700.29999
2.0,202,703.734437
0.0,129,706.027979
4.0,297,711.53537
2.0,202,715.322961
0.0,125,717.2747
0.0,125,719.718991
0.0,127,721.721618
0.0,127,723.937912
0.0,127,726.337762
5.0,350,732.92532
0.0,127,735.111179
0.0,127,737.223197
10.0,433,745.70025
2.0,202,749.352489
6.0,396,756.865606
0.0,129,758.786721
9.0,404,767.673524
0.0,125,769.45785
0.0,129,771.512272
0.0,129,773.623688
9.0,401,781.788335
4.0,297,787.601661
0.0,127,789.974154
3.0,248,795.163049
9.0,404,802.945245
0.0,127,805.3506
9.0,401,813.354357
2.0,202,817.172152
0.0,127,819.197582
10.0,451,828.502265
1.0,153,831.263214
5.0,350,838.045784
4.0,278,843.470525
2.0,200,846.976867
0.0,129,849.321949
5.0,350,856.459831
2.0,200,860.599228
1.0,175,863.881391
0.0,129,866.232269
0.0,129,868.634896
2.0,202,872.09461
0.0,127,874.361402
5.0,350,880.266535
1.0,173,883.407614
4.0,260,888.799536
7.0,404,896.592993
9.0,404,905.112366
11.0,463,914.354326
1.0,153,917.19241
3.0,253,921.577398
4.0,277,927.238374
4.0,324,933.981585
7.0,428,941.940508
10.0,451,950.605433
2.0,202,954.545842
0.0,129,956.793458
1.0,173,960.234806
1.0,155,963.029554
2.0,202,966.69503
5.0,328,972.808873
0.0,129,975.022683
4.0,300,980.94951
0.0,129,982.884192
2.0,202,987.080379
2.0,206,991.317968
9.0,404,999.710354
1.0,157,1002.767912
3.0,230,1007.136569
5.0,350,1013.731261
14.0,488,1022.713217
4.0,258,1027.394693
1.0,153,1030.277176
7.0,407,1038.584952
0.0,129,1040.848728
2.0,186,1044.149105
1.0,157,1047.205095
3.0,231,1051.73242
0.0,129,1054.314605
0.0,125,1056.441851
4.0,296,1062.461544
0.0,129,1064.556543
3.0,230,1068.267545
0.0,129,1070.564734
5.0,350,1077.328367
1.0,155,1080.176822
3.0,248,1084.99859
9.0,404,1092.628061
1.0,155,1095.322769
0.0,127,1097.843735
4.0,299,1103.545015
3.0,230,1108.198283
1.0,155,1111.131638
4.0,301,1116.164203
2.0,202,1120.091601
0.0,127,1122.309757
4.0,298,1128.009464
4.0,279,1132.77753
3.0,248,1137.275854
0.0,129,1139.627624
1.0,155,1142.251882
1.0,155,1144.966634
4.0,260,1150.17353
2.0,223,1154.368648
9.0,380,1161.638047
5.0,352,1167.747377
7.0,408,1175.717594
11.0,495,1185.477406
3.0,218,1189.549355
2.0,182,1193.230183
1.0,155,1195.971547
2.0,223,1200.078025
9.0,523,1211.029949
9.0,401,1218.971251
1.0,176,1222.462384
11.0,382,1230.272449
5.0,350,1236.648004
1.0,177,1239.637746
1.0,174,1242.333402
0.0,125,1244.56641
4.0,299,1250.430182
4.0,267,1255.667142
0.0,129,1258.243794
2.0,190,1261.305807
3.0,234,1265.847706
2.0,201,1270.249256
10.0,451,1279.046728
6.0,402,1287.168697
0.0,129,1289.467242
4.0,293,1295.092954
5.0,328,1301.152582
9.0,494,1310.13482
7.0,407,1318.204639
1.0,176,1321.930694
10.0,378,1328.730598
12.0,516,1338.616909
8.0,446,1347.031859
2.0,223,1351.383396
7.0,248,1355.965469
7.0,367,1363.097709
1.0,174,1366.156712
12.0,500,1375.642057
1.0,157,1378.642873
4.0,245,1383.539863
10.0,452,1392.419198
0.0,129,1394.316558
6.0,398,1401.736317
2.0,183,1405.341448
4.0,267,1410.083133
0.0,129,1412.670937
1.0,174,1416.210526
15.0,516,1425.715272
1.0,155,1428.362533
13.0,597,1440.278742
3.0,233,1444.688051
2.0,184,1447.795327
7.0,383,1455.053614
1.0,155,1457.967484
3.0,210,1462.023286
4.0,304,1468.235642
4.0,263,1473.154469
0.0,129,1475.558325
11.0,410,1483.686663
9.0,312,1489.823787
0.0,129,1492.393386
