#{"t_start": 1522684763.0587122, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,198,5.403077
2.0,186,7.59888
2.0,222,10.227408
0.0,129,11.678659
7.0,429,16.870787
2.0,201,19.243512
1.0,175,21.247156
0.0,129,22.658589
1.0,155,24.484466
1.0,171,26.432142
0.0,127,27.877301
4.0,281,31.240523
2.0,200,33.635656
0.0,127,35.039289
0.0,127,36.483798
0.0,129,37.94871
2.0,200,40.254739
1.0,171,42.247281
0.0,127,43.638703
0.0,129,45.093292
0.0,129,46.557637
1.0,157,48.417959
0.0,127,49.895679
0.0,129,51.363152
0.0,127,52.777506
3.0,275,56.056276
0.0,129,57.544448
0.0,125,58.937543
0.0,129,60.406771
3.0,234,63.197559
4.0,301,66.827758
0.0,127,68.247394
1.0,178,70.319208
1.0,175,72.320087
4.0,302,75.941375
4.0,268,79.228735
6.0,395,83.991613
1.0,175,86.008262
0.0,125,87.383016
1.0,173,89.430718
0.0,129,90.867973
2.0,204,93.30911
3.0,272,96.589811
2.0,183,98.750472
1.0,175,100.824212
0.0,129,102.274282
0.0,125,103.693427
0.0,129,105.171766
0.0,127,106.579684
0.0,125,108.034382
1.0,175,110.118705
3.0,251,113.126935
1.0,157,114.928098
0.0,123,116.324802
0.0,127,117.76144
4.0,301,121.533922
0.0,129,123.032811
2.0,202,125.422098
3.0,270,128.69178
2.0,224,132.562393
1.0,169,136.053225
1.0,175,139.650742
1.0,173,142.995383
2.0,223,147.31127
3.0,236,152.096153
2.0,201,155.907926
0.0,125,157.883428
2.0,205,161.819303
0.0,129,163.901048
2.0,186,167.232848
0.0,127,169.70073
0.0,125,171.468243
0.0,127,173.809635
4.0,294,179.292931
0.0,127,181.879294
4.0,302,187.774686
2.0,224,191.912991
2.0,198,196.002091
2.0,208,199.777272
1.0,157,202.834306
0.0,125,205.264307
1.0,173,208.406631
0.0,127,210.372401
1.0,174,213.705937
5.0,300,219.743088
1.0,155,222.548069
5.0,343,229.343095
6.0,384,237.068683
0.0,129,239.512259
9.0,401,247.092911
0.0,125,249.61918
1.0,171,252.418923
0.0,127,254.476757
0.0,129,256.685863
2.0,220,261.139056
4.0,279,266.746497
1.0,177,269.90502
0.0,125,272.070273
1.0,171,274.818661
0.0,129,277.32473
0.0,127,279.421861
0.0,127,281.772218
2.0,202,285.456806
2.0,202,289.346262
2.0,200,293.264784
2.0,201,297.443708
0.0,127,299.866488
3.0,248,305.124492
4.0,262,309.942827
5.0,330,315.871489
4.0,321,322.505713
0.0,127,324.872976
0.0,125,327.146204
5.0,350,333.456134
5.0,352,340.291328
1.0,173,343.350843
0.0,127,345.970448
0.0,127,348.177909
4.0,282,353.668705
0.0,129,355.89089
0.0,127,358.018231
0.0,129,360.20522
5.0,352,367.196059
0.0,127,369.841782
11.0,461,379.298447
4.0,299,385.447417
0.0,127,388.086964
0.0,125,390.056206
4.0,299,395.360258
0.0,125,397.589907
0.0,125,399.734379
4.0,280,404.75927
2.0,200,408.575795
0.0,127,411.210285
0.0,127,413.323527
5.0,350,419.850489
