#{"t_start": 1522684762.9309454, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,198,5.522736
4.0,300,9.161229
0.0,127,10.609993
0.0,127,12.030358
1.0,171,14.007039
1.0,171,15.962957
2.0,222,18.555678
3.0,232,21.274963
2.0,218,23.865213
1.0,155,25.678626
3.0,250,28.600254
1.0,155,30.415095
1.0,157,32.236688
1.0,175,34.275818
1.0,172,36.235837
1.0,157,38.090983
1.0,173,40.050076
3.0,228,42.73217
1.0,173,44.751508
1.0,155,46.506327
1.0,155,48.340125
0.0,127,49.83671
2.0,198,52.19506
1.0,155,53.935131
1.0,175,55.956583
1.0,171,57.965397
3.0,271,61.269444
1.0,176,63.299103
0.0,127,64.740751
3.0,231,67.477674
0.0,127,68.896027
0.0,129,70.364835
3.0,219,72.891888
0.0,123,74.257185
0.0,129,75.722217
0.0,129,77.195499
1.0,177,79.27555
2.0,223,81.902833
0.0,129,83.352994
6.0,377,87.922426
4.0,264,91.06234
0.0,127,92.554886
2.0,200,94.876472
2.0,204,97.318789
0.0,129,98.744706
0.0,129,100.237175
0.0,129,101.731614
1.0,173,103.754421
2.0,200,106.105482
0.0,129,107.597851
1.0,155,109.43444
2.0,225,112.10568
1.0,178,114.201997
1.0,157,116.006788
0.0,129,117.472091
0.0,127,118.953584
2.0,200,121.393546
0.0,127,122.872129
1.0,173,124.889756
1.0,157,126.694837
0.0,127,128.18788
1.0,170,130.513304
0.0,129,132.828578
0.0,127,135.398158
5.0,331,142.271666
1.0,155,145.178806
0.0,127,147.695434
2.0,182,151.240939
0.0,123,153.489846
1.0,157,156.357742
0.0,125,158.543645
1.0,175,161.602648
0.0,127,163.903573
0.0,127,166.104794
1.0,157,168.947297
0.0,129,170.935558
3.0,272,176.197722
1.0,157,178.947994
1.0,172,182.203449
0.0,127,184.565388
2.0,221,188.828834
0.0,127,191.211006
1.0,176,194.270544
1.0,176,197.912424
4.0,297,203.857191
3.0,227,208.2198
0.0,125,210.118777
5.0,347,217.171717
0.0,125,219.387693
0.0,127,221.548257
0.0,129,223.880757
2.0,200,227.860431
2.0,202,231.646004
2.0,222,235.90675
2.0,202,239.968311
3.0,249,244.703342
5.0,342,251.26785
0.0,125,253.25763
4.0,298,258.727414
4.0,316,265.30166
2.0,204,269.206643
0.0,127,271.223271
3.0,248,275.829652
0.0,127,278.0211
0.0,125,280.088128
1.0,172,283.346561
0.0,129,285.584882
1.0,173,288.754161
1.0,173,291.912183
3.0,246,297.437977
3.0,271,303.169768
0.0,125,305.36752
1.0,155,307.990966
0.0,127,310.377831
0.0,127,312.71904
2.0,224,316.728223
3.0,252,321.756978
0.0,129,324.123353
4.0,301,329.816264
0.0,127,331.974694
9.0,404,339.503793
5.0,347,346.497285
0.0,127,348.666681
4.0,295,354.469215
0.0,125,356.607187
0.0,127,358.761487
0.0,127,361.120516
4.0,323,367.318521
5.0,350,374.705517
0.0,127,376.859636
2.0,202,381.082254
6.0,380,389.049363
3.0,271,393.721454
4.0,299,399.148988
4.0,299,404.663534
0.0,127,407.105509
4.0,301,412.878415
0.0,125,414.988996
2.0,202,419.074657
0.0,127,421.007078
0.0,125,423.337813
0.0,129,425.847744
0.0,125,427.997917
9.0,404,435.564699
6.0,382,443.126446
5.0,350,449.937578
2.0,202,453.574741
0.0,127,455.937863
2.0,202,459.822539
4.0,319,466.124316
0.0,129,468.546529
3.0,250,473.097329
0.0,127,475.160561
1.0,158,478.059275
0.0,127,480.128305
2.0,200,484.113583
10.0,433,492.938876
0.0,129,494.990166
5.0,350,501.444294
1.0,173,504.541582
0.0,129,506.813354
3.0,246,511.030597
2.0,202,514.486841
2.0,198,517.884997
0.0,129,520.081615
0.0,129,522.216048
0.0,129,524.193536
5.0,350,530.967302
5.0,350,537.045552
0.0,125,539.01797
10.0,433,548.479628
0.0,129,551.091506
0.0,129,553.040576
0.0,129,555.556015
0.0,129,558.247765
0.0,127,560.599105
0.0,129,563.013437
9.0,404,570.766757
0.0,127,572.853259
0.0,125,575.177684
0.0,127,577.258948
6.0,397,585.540292
5.0,329,592.349525
0.0,129,594.576784
0.0,129,597.110977
0.0,127,599.064032
0.0,127,601.376575
6.0,400,609.300636
2.0,200,612.974287
0.0,125,615.216093
0.0,129,617.515408
0.0,127,619.679656
0.0,125,621.68231
0.0,129,624.106651
0.0,123,625.859263
0.0,129,628.368404
0.0,129,630.511283
0.0,127,632.729755
0.0,129,634.866234
0.0,127,636.984678
2.0,202,640.74192
9.0,404,649.224779
0.0,127,650.986835
5.0,350,657.949771
2.0,202,661.678957
9.0,382,669.334781
0.0,127,671.667159
10.0,451,680.380008
0.0,129,682.869386
3.0,248,687.904643
9.0,404,695.471157
2.0,200,699.288463
0.0,129,701.090376
0.0,129,703.376121
3.0,248,707.985702
5.0,350,714.749712
0.0,127,716.567286
12.0,431,724.880153
0.0,129,727.236574
0.0,123,729.067882
0.0,129,731.537235
2.0,202,735.266351
0.0,127,737.37968
9.0,404,745.302367
5.0,370,752.042692
0.0,129,754.273172
6.0,380,761.367195
5.0,350,768.922374
2.0,202,772.369056
4.0,297,777.646344
0.0,125,780.049057
2.0,198,784.208869
0.0,129,786.348064
4.0,299,792.51768
0.0,129,794.807996
0.0,129,797.546347
11.0,501,807.251788
0.0,129,809.486763
6.0,377,817.248239
0.0,127,819.276401
2.0,198,823.325502
1.0,155,826.17058
2.0,200,830.293141
0.0,129,832.161259
2.0,202,836.011044
0.0,129,838.316061
2.0,200,842.249386
10.0,433,850.564749
1.0,155,853.668144
0.0,129,855.892148
4.0,297,862.386069
2.0,202,865.981304
0.0,127,868.299493
0.0,127,870.442632
0.0,127,872.536883
0.0,129,874.803384
0.0,127,877.057921
5.0,350,882.990541
0.0,125,885.283912
0.0,127,887.629975
1.0,174,891.316319
2.0,200,895.012578
0.0,129,897.185842
0.0,129,899.809467
0.0,127,902.039351
0.0,127,904.524858
1.0,157,907.846609
2.0,198,911.329887
0.0,129,913.859669
1.0,175,917.193997
8.0,372,924.217726
3.0,248,929.020513
1.0,157,932.112593
1.0,175,935.355671
0.0,129,937.458637
0.0,129,939.890686
1.0,173,943.162657
0.0,129,945.698896
3.0,248,949.941544
1.0,155,952.675458
0.0,129,955.238416
9.0,404,963.372841
0.0,129,965.326182
3.0,246,969.966091
0.0,127,972.36326
5.0,350,978.975471
1.0,157,981.813154
1.0,155,984.664958
2.0,200,988.520177
2.0,200,992.596331
0.0,129,995.265261
0.0,127,997.940697
2.0,198,1001.534441
0.0,129,1003.897405
1.0,157,1006.828694
0.0,129,1009.173572
5.0,350,1015.604936
5.0,307,1020.989416
6.0,379,1028.17514
2.0,202,1032.375359
1.0,157,1035.61763
2.0,220,1039.330698
6.0,397,1047.102483
0.0,125,1049.448409
1.0,175,1052.904905
7.0,407,1061.00315
2.0,189,1064.398658
0.0,127,1066.550478
