#{"t_start": 1522684763.0703487, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,369,7.567043
2.0,202,9.944866
2.0,224,12.605496
0.0,129,14.064035
0.0,123,15.42436
1.0,173,17.38885
2.0,224,20.003079
1.0,173,21.994678
0.0,129,23.473613
3.0,268,26.668174
1.0,171,28.648991
0.0,129,30.139091
0.0,129,31.587513
2.0,202,33.971194
1.0,157,35.753515
0.0,129,37.225497
0.0,125,38.620869
0.0,125,39.996417
0.0,129,41.458264
0.0,123,42.837981
9.0,378,47.42953
1.0,153,49.252735
1.0,176,51.33494
4.0,258,54.424953
1.0,155,56.211064
1.0,171,58.174282
0.0,127,59.627285
0.0,127,61.077522
2.0,202,63.449984
1.0,173,65.436752
1.0,175,67.483902
1.0,171,69.475372
2.0,225,72.089779
4.0,262,75.228504
0.0,129,76.718005
0.0,123,78.079888
2.0,203,80.476464
2.0,200,82.818096
1.0,173,84.788963
0.0,129,86.250565
3.0,247,89.176678
2.0,202,91.619795
1.0,155,93.395504
2.0,202,95.772274
0.0,127,97.21615
0.0,129,98.683414
1.0,173,100.714758
4.0,305,104.417722
3.0,267,107.67731
0.0,125,109.102769
4.0,302,112.793567
0.0,125,114.185186
0.0,127,115.629568
1.0,171,117.625301
1.0,153,119.444177
0.0,127,120.909708
2.0,220,123.663584
7.0,416,128.768099
0.0,127,130.518576
1.0,175,134.150839
2.0,220,138.750474
0.0,129,141.007475
5.0,326,147.644902
0.0,129,150.174202
2.0,202,153.988144
0.0,125,156.239694
1.0,171,159.409371
2.0,226,163.414198
0.0,127,165.519165
3.0,250,170.217181
0.0,127,172.159771
1.0,174,175.477751
0.0,129,177.924819
1.0,155,180.588425
2.0,200,184.498281
1.0,176,187.888956
2.0,202,191.769441
2.0,200,195.706065
2.0,220,199.800967
2.0,222,204.389384
0.0,129,207.048483
4.0,284,211.584769
0.0,127,214.465151
0.0,127,216.624225
1.0,158,219.635517
0.0,125,221.687754
0.0,129,223.994556
2.0,219,228.226686
3.0,232,232.723858
2.0,198,236.600595
0.0,129,239.012059
1.0,157,242.087066
2.0,202,245.767408
0.0,127,247.905824
13.0,479,256.817779
0.0,127,259.183731
1.0,177,262.779339
4.0,295,268.767395
3.0,248,272.972713
0.0,127,275.067424
3.0,248,279.78632
3.0,269,284.999916
0.0,129,287.268187
1.0,153,290.14799
4.0,281,296.19238
0.0,129,298.59246
0.0,129,301.225697
3.0,268,306.423819
11.0,504,315.824215
0.0,129,318.600977
2.0,200,322.380471
