EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
20,13721,0.0,686050,-5.035323707107198,-3.6828303,50.0,316.5799069404602,0.9631762728095055,0.03774674,0.03774674,0.009880634
21,13742,0.0,687100,-5.181104575561829,-3.6824274,50.0,317.0335259437561,0.9492631889879704,0.039448455,0.039448455,0.010127871
20,13762,0.0,688100,-6.39066774030468,-3.681053,50.0,317.484760761261,0.9303752481937408,0.06145562,0.06145562,0.010427486
21,13783,0.0,689150,-6.672513473424042,-3.6812983,50.0,317.9389579296112,0.9546847119927406,0.047287963,0.047287963,0.012179121
20,13803,0.0,690150,-5.682248062545545,-3.6799943,50.0,318.39400720596313,0.9446370638906956,0.03781215,0.03781215,0.010148853
21,13824,0.0,691200,-5.212028393322188,-3.6816728,50.0,318.84362268447876,0.9675785079598427,0.033455223,0.033455223,0.009678665
20,13844,0.0,692200,-5.332970612557746,-3.6809084,50.0,319.29150915145874,0.9359312728047371,0.068496354,0.068496354,0.011152316
20,13864,0.0,693200,-5.199992777278249,-3.6822507,50.0,319.7355408668518,0.9565264843404293,0.030233933,0.030233933,0.010980998
21,13885,0.0,694250,-5.131783805489887,-3.684135,50.0,320.1846241950989,0.9625066630542278,0.049612537,0.049612537,0.012377726
20,13905,0.0,695250,-5.378611668216864,-3.6831603,50.0,320.64801144599915,0.945242166519165,0.038920388,0.038920388,0.010112776
21,13926,0.0,696300,-5.181717420448107,-3.6787493,50.0,321.10646772384644,0.88506680727005,0.031009518,0.031009518,0.010151886
20,13946,0.0,697300,-5.155579520654998,-3.6800542,50.0,321.5578351020813,0.954923864454031,0.027973572,0.027973572,0.010313687
21,13967,0.0,698350,-4.620737304452656,-3.679293,50.0,322.00700974464417,0.9479566179215908,0.06716822,0.06716822,0.011729645
20,13987,0.0,699350,-4.428473591524546,-3.6867657,50.0,322.457884311676,0.9640576802194118,0.032180585,0.032180585,0.010180855
21,14008,0.0,700400,-4.839450104005708,-3.6941817,50.0,322.9086630344391,0.9639082215726376,0.03291721,0.03291721,0.009914714
20,14028,0.0,701400,-5.168801975650394,-3.7009664,50.0,323.36477732658386,0.9676053002476692,0.027613806,0.027613806,0.0103385225
