entropy,surrgain,optimgain,TimeElapsed,EpisodesSoFar,EpRewMean,meankl,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter
1.3600233,0.011064401,0.011064401,73.55119252204895,662,0.55,0.00092109357,0.0,47.0,22515,-0.0017468929290771484,10
1.3706851,0.010167243,0.010167243,75.15798306465149,681,0.25,0.001097944,0.0,33.525,23021,0.004126608371734619,19
1.3606012,0.007951856,0.007951856,76.7845151424408,695,0.275,0.0013230636,0.0,34.4,23509,0.0012154579162597656,14
1.2862637,0.008914173,0.008914173,78.37738800048828,705,0.325,0.0010350075,0.0,37.05,24064,0.00895082950592041,10
1.345153,0.007156209,0.007156209,80.02613091468811,720,0.375,0.0012103847,0.0,39.375,24573,0.004836976528167725,15
1.3608443,0.0013006628,0.0013006628,81.71850538253784,736,0.325,0.0013897129,0.0,36.95,25085,0.010461628437042236,16
1.3555654,0.00937677,0.00937677,83.45330858230591,755,0.2,0.00095183856,0.0,29.85,25583,0.005401313304901123,19
1.343709,0.0040372238,0.0040372238,85.13738179206848,766,0.3,0.00094077125,0.0,34.2,26075,-0.0037970542907714844,11
1.2161154,0.004957486,0.004957486,86.76153802871704,779,0.325,0.00050522026,0.0,36.3,26602,0.008395075798034668,13
1.3512242,0.011076618,0.011076618,88.4320924282074,797,0.35,0.00083053653,0.0,37.425,27126,0.001749277114868164,18
1.3650424,0.013419818,0.013419818,90.225515127182,815,0.125,0.0012208694,0.0,28.0,27634,-0.003529071807861328,18
1.353154,0.0066943765,0.0066943765,91.85193514823914,827,0.275,0.0003301791,0.0,34.175,28149,0.0004743337631225586,12
1.3207624,0.012285419,0.012285419,93.45507264137268,837,0.35,0.0012214317,0.0,38.05,28648,0.0010645389556884766,10
1.2350686,0.011315435,0.011315435,95.07902240753174,844,0.5,0.00092703203,0.0,44.9,29177,-0.005113363265991211,7
1.3275664,0.0067507736,0.0067507736,96.79194688796997,860,0.45,0.0009618206,0.0,42.325,29610,0.004686474800109863,16
1.3315017,0.0046834536,0.0046834536,98.39344716072083,874,0.5,0.00027608656,0.0,43.8,30208,0.022607803344726562,14
1.3073573,0.005028732,0.005028732,99.99254822731018,887,0.35,0.00028004948,0.0,36.6,30708,0.016589581966400146,13
1.3270848,0.0076078176,0.0076078176,101.73260450363159,903,0.3,0.0013402179,0.0,34.725,31218,0.00037556886672973633,16
1.3089793,0.01201902,0.01201902,103.40039467811584,913,0.4,0.0014373792,0.0,38.775,31736,-0.006853699684143066,10
1.2069987,0.0077552116,0.0077552116,105.03226327896118,920,0.45,0.0011498823,0.0,42.2,32237,-0.004746556282043457,7
1.3014016,0.001527138,0.001527138,106.6097674369812,936,0.475,0.0008259531,0.0,43.275,32719,0.0066168904304504395,16
1.302983,0.012010075,0.012010075,108.26774525642395,942,0.65,0.0010770607,0.0,50.925,33232,-0.005128979682922363,6
1.2856164,0.0077082347,0.0077082347,110.07708287239075,962,0.3,0.00039318082,0.0,35.8,33789,0.04294341802597046,20
1.2793611,0.011102259,0.011102259,111.73173594474792,975,0.4,0.0012571585,0.0,40.175,34303,0.006513237953186035,13
1.2861322,0.006910935,0.006910935,113.44113421440125,996,0.15,0.0004281156,0.0,28.925,34808,0.00625079870223999,21
1.3030921,0.008304894,0.008304894,115.25073075294495,1005,0.325,0.00141099,0.0,36.425,35311,-0.0025081634521484375,9
1.2651049,0.015984997,0.015984997,117.02176237106323,1023,0.25,0.00091566646,0.0,32.775,35796,0.006655752658843994,18
1.2843246,0.009073079,0.009073079,118.77977848052979,1039,0.275,0.0009707389,0.0,33.55,36296,0.004025697708129883,16
1.2773113,0.009846702,0.009846702,120.43735456466675,1057,0.175,0.0014934867,0.0,28.625,36805,-0.0008820295333862305,18
1.2839861,0.008675579,0.008675579,121.96784996986389,1071,0.275,0.0014622483,0.0,32.375,37342,-0.0009559392929077148,14
1.2767173,0.004428083,0.004428083,123.56726551055908,1081,0.325,0.0014418061,0.0,35.775,37874,0.009800195693969727,10
1.2572803,0.004175015,0.004175015,125.2031741142273,1095,0.425,0.00031860083,0.0,40.65,38385,0.031205058097839355,14
1.2425832,0.010313638,0.010313638,126.89823484420776,1104,0.525,0.0011222118,0.0,45.55,38859,0.0009556412696838379,9
1.2714217,0.00082359836,0.00082359836,128.6230731010437,1111,0.65,0.00041030147,0.0,50.65,39368,-0.015128731727600098,7
1.2676157,0.0066990554,0.0066990554,130.2951431274414,1128,0.475,0.00063967926,0.0,42.275,39919,0.0055332183837890625,17
1.2597842,-6.072223e-06,-6.072223e-06,132.03319096565247,1142,0.425,1.7387872e-06,0.0,39.725,40406,0.007105827331542969,14
1.2593325,0.013041213,0.013041213,133.63425755500793,1151,0.375,0.0011549258,0.0,38.45,40906,-0.005571603775024414,9
1.2707472,0.0075919256,0.0075919256,135.25132822990417,1161,0.45,0.0009366893,0.0,41.025,41403,-0.0028231143951416016,10
1.2676852,0.009135466,0.009135466,136.92699360847473,1171,0.65,0.0011195429,0.0,49.775,41977,-0.010776996612548828,10
1.2603054,0.0064114407,0.0064114407,138.62914061546326,1187,0.55,0.00040822625,0.0,45.425,42484,0.00993645191192627,16
1.2425311,0.0064380765,0.0064380765,140.38243985176086,1203,0.3,0.00031700716,0.0,34.45,42923,0.006082475185394287,16
1.235559,0.0062440336,0.0062440336,142.0394151210785,1222,0.15,0.00043647824,0.0,28.025,43496,0.0063397884368896484,19
1.2623014,0.010318998,0.010318998,143.67917799949646,1234,0.25,0.0008763099,0.0,32.375,44013,0.00016045570373535156,12
1.2252594,0.011874385,0.011874385,145.31913232803345,1246,0.35,0.0008180395,0.0,36.575,44526,-0.004527568817138672,12
1.2211001,0.0016042665,0.0016042665,146.95537638664246,1266,0.3,0.00027779,0.0,34.8,45051,0.012301802635192871,20
1.2538775,0.0056927577,0.0056927577,148.61527276039124,1278,0.25,0.0003435562,0.0,32.325,45568,-0.0037610530853271484,12
1.2168618,0.00505767,0.00505767,150.3349096775055,1297,0.2,0.0002217851,0.0,30.75,46003,0.009731054306030273,19
1.2447567,0.0122485105,0.0122485105,152.01945543289185,1313,0.225,0.0010525014,0.0,30.85,46541,0.011909067630767822,16
1.2806503,0.010935692,0.010935692,153.78172326087952,1322,0.325,0.0011013688,0.0,35.8,47092,0.006090939044952393,9
1.2564247,0.0038664127,0.0038664127,155.55644583702087,1335,0.45,0.00033573338,0.0,41.275,47608,0.010899603366851807,13
1.2403615,0.010912888,0.010912888,157.24539494514465,1352,0.425,0.0009817509,0.0,40.65,48114,0.010714948177337646,17
1.2557509,0.0005672537,0.0005672537,158.97713541984558,1363,0.375,0.0007508357,0.0,38.05,48637,0.006236732006072998,11
1.2791499,0.008228827,0.008228827,160.68453645706177,1374,0.4,0.0012071828,0.0,38.575,49128,-0.010680079460144043,11
1.2783046,0.009657335,0.009657335,162.40274381637573,1379,0.575,0.0012673791,0.0,46.175,49545,-0.007453560829162598,5
1.2337126,0.009175032,0.009175032,164.18706607818604,1396,0.6,0.00095447485,0.0,47.4,50173,0.0009366273880004883,17
1.2361785,0.010851771,0.010851771,166.03302192687988,1415,0.35,0.0013573703,0.0,36.875,50675,0.011018931865692139,19
1.2629641,0.002414249,0.002414249,167.66480493545532,1423,0.25,0.00028036852,0.0,32.325,51100,-0.0037435293197631836,8
1.2481471,0.0014532693,0.0014532693,169.36345672607422,1432,0.425,0.00032115413,0.0,39.975,51680,-0.0017535686492919922,9
1.2567655,0.0018445775,0.0018445775,171.08469343185425,1445,0.55,0.0003888612,0.0,45.6,52202,0.008809328079223633,13
1.2333136,0.009388626,0.009388626,172.79405188560486,1465,0.35,0.0011967415,0.0,37.05,52725,0.014934539794921875,20
1.235407,0.012524702,0.012524702,174.43554663658142,1484,0.1,0.0010687418,0.0,26.25,53231,0.01753908395767212,19
1.2773242,0.0075488985,0.0075488985,176.15941095352173,1492,0.25,0.00068914244,0.0,33.175,53759,-0.015861034393310547,8
1.259683,0.0055273958,0.0055273958,177.81106281280518,1506,0.35,0.001372452,0.0,37.55,54250,0.02268803119659424,14
1.2416115,0.00577534,0.00577534,179.5070242881775,1518,0.45,0.00033711366,0.0,42.15,54779,0.02895963191986084,12
1.2687709,0.010095872,0.010095872,181.33877229690552,1528,0.45,0.00080294965,0.0,42.15,55179,0.018908917903900146,10
1.3077301,0.009567341,0.009567341,183.33059120178223,1535,0.55,0.0011492659,0.0,46.525,55789,-0.012506842613220215,7
1.2495595,0.0022572652,0.0022572652,185.0592279434204,1547,0.575,0.00026735777,0.0,47.575,56257,-0.0024967193603515625,12
