#{"t_start": 1522701142.8170998, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.323102
2.0,202,4.359589
1.0,155,5.586698
2.0,203,7.217218
3.0,248,9.520679
0.0,125,10.534961
1.0,158,11.820894
1.0,154,12.981216
2.0,223,14.926989
2.0,202,16.482722
0.0,129,17.548932
2.0,226,19.615803
3.0,250,21.938976
5.0,326,24.716655
2.0,198,26.559803
0.0,127,27.671281
0.0,125,28.55305
1.0,175,30.271674
2.0,203,32.062642
0.0,129,33.072781
0.0,127,34.113807
0.0,129,35.210894
5.0,352,38.337698
2.0,200,39.901937
1.0,153,41.155734
14.0,626,46.6108
1.0,175,48.008195
1.0,155,49.254298
3.0,268,51.52572
0.0,125,52.561964
1.0,153,53.928467
0.0,127,54.974526
0.0,129,56.019434
2.0,202,57.656166
0.0,129,58.990588
0.0,125,60.078254
4.0,301,62.760961
0.0,127,63.963297
6.0,396,67.343832
5.0,352,70.602531
4.0,296,73.334555
1.0,153,74.961981
0.0,125,76.319114
1.0,175,78.049666
2.0,185,79.720105
1.0,157,81.029159
1.0,171,82.452182
3.0,228,84.484622
0.0,127,85.522103
3.0,250,87.4963
1.0,170,89.160362
4.0,281,91.547553
2.0,185,93.019993
12.0,520,97.554219
2.0,198,99.143845
2.0,200,100.938162
0.0,127,101.975414
5.0,350,104.830988
4.0,297,107.549725
1.0,155,108.788238
2.0,187,110.243628
2.0,185,111.730463
0.0,129,112.743972
10.0,435,116.54503
5.0,350,119.354067
1.0,155,120.618794
0.0,127,121.662483
3.0,249,123.758345
6.0,394,127.068765
1.0,178,128.527964
3.0,225,130.491709
4.0,258,132.624443
7.0,250,134.709815
2.0,204,136.310238
0.0,129,137.325901
6.0,375,140.518348
1.0,155,141.780496
1.0,174,143.13101
4.0,260,145.267568
3.0,231,147.259642
1.0,155,148.522874
4.0,325,151.241939
6.0,403,154.637511
2.0,184,156.306984
1.0,155,157.550781
4.0,276,159.838802
7.0,408,163.387466
1.0,155,164.721107
4.0,265,166.975286
2.0,203,168.769718
1.0,178,170.137738
3.0,214,171.798469
4.0,263,174.638899
2.0,183,176.294195
2.0,188,177.739
2.0,221,179.637112
13.0,518,184.028721
13.0,370,187.759546
3.0,229,189.707575
9.0,496,194.013156
4.0,279,196.320969
13.0,549,200.996584
6.0,373,204.134429
9.0,451,207.936237
7.0,407,211.267452
6.0,363,214.497541
7.0,431,218.096471
9.0,330,220.935301
6.0,346,223.666157
8.0,472,227.737702
8.0,421,231.597916
12.0,302,234.011712
5.0,290,236.546576
11.0,399,239.831404
6.0,379,242.864158
11.0,472,246.903626
14.0,488,251.049293
9.0,498,255.072922
6.0,357,258.198856
9.0,482,262.233428
14.0,524,266.648471
18.0,556,271.245538
9.0,483,275.343919
12.0,543,279.92322
6.0,326,283.086006
9.0,508,287.4258
5.0,307,289.897811
10.0,469,294.036741
9.0,461,297.826981
8.0,412,301.713007
7.0,392,304.824985
6.0,340,307.843669
10.0,357,310.888842
9.0,451,314.634029
10.0,535,319.227318
8.0,425,322.701056
5.0,298,325.271264
8.0,433,328.856676
8.0,423,332.721291
13.0,544,337.412196
17.0,478,341.644608
8.0,420,345.484541
8.0,425,349.014936
12.0,523,353.355041
17.0,604,358.58496
14.0,591,363.4942
11.0,547,368.346588
15.0,527,372.646537
20.0,680,378.40942
20.0,747,384.76654
11.0,576,389.827849
17.0,470,393.686903
10.0,558,398.684949
10.0,375,401.778361
3.0,240,404.216949
18.0,644,409.714302
9.0,405,413.182166
19.0,617,418.514437
7.0,369,421.642722
11.0,512,425.919796
10.0,529,430.308823
9.0,447,433.990967
14.0,365,437.019572
13.0,564,441.739511
8.0,454,445.533264
20.0,702,451.699635
6.0,376,454.823334
9.0,464,458.583926
9.0,504,462.942651
11.0,419,466.388698
33.0,789,472.981255
17.0,392,476.208664
5.0,314,479.00993
22.0,641,484.557241
36.0,621,489.884149
12.0,524,494.261644
18.0,522,498.705346
16.0,448,502.523988
14.0,422,506.077541
12.0,533,510.46912
18.0,702,516.317013
7.0,410,519.706918
8.0,456,523.78622
19.0,665,529.355482
8.0,435,532.91998
7.0,397,536.240294
15.0,630,541.487141
10.0,551,546.12817
13.0,568,550.806226
15.0,675,556.719544
11.0,531,561.083573
20.0,678,567.306973
12.0,571,572.180561
13.0,350,576.366722
9.0,489,580.417054
16.0,595,585.561563
16.0,616,590.760781
11.0,499,594.727328
11.0,554,599.490492
16.0,466,603.196529
23.0,649,608.633404
11.0,427,612.137017
9.0,444,616.027683
16.0,630,621.263533
20.0,665,627.019691
12.0,507,631.3948
15.0,517,636.03604
14.0,576,641.771781
17.0,492,646.001307
21.0,727,652.510341
16.0,732,658.788622
13.0,351,661.589403
15.0,422,665.237766
14.0,701,671.078008
22.0,700,676.769155
29.0,761,683.179276
17.0,641,688.590995
18.0,633,694.042085
11.0,562,698.658371
12.0,580,703.603305
19.0,629,708.663308
26.0,725,714.785907
21.0,700,720.505996
19.0,692,726.443394
15.0,640,731.651579
18.0,693,737.701975
12.0,456,741.757835
24.0,622,747.991102
14.0,631,754.158081
14.0,489,758.393788
26.0,784,764.893358
17.0,584,770.115421
15.0,681,776.51956
32.0,554,781.194848
25.0,856,788.797139
14.0,646,794.526555
24.0,723,801.166883
19.0,545,805.968332
28.0,758,812.243188
16.0,583,817.568701
15.0,575,822.472227
15.0,605,827.655841
27.0,872,835.537156
17.0,484,839.528604
27.0,872,847.307239
19.0,505,851.623773
33.0,1149,861.845234
16.0,626,866.995656
16.0,610,872.149339
16.0,447,875.816613
13.0,316,878.603939
29.0,747,885.323587
18.0,725,891.706105
24.0,783,898.83619
18.0,646,905.422701
17.0,567,910.307466
7.0,385,913.676659
18.0,811,921.355638
11.0,584,926.17195
29.0,704,932.080827
27.0,734,938.442449
13.0,625,943.668847
32.0,974,951.658972
23.0,701,957.727262
19.0,698,963.578125
15.0,685,969.447366
12.0,548,974.05536
33.0,941,982.063439
11.0,428,985.773596
33.0,989,994.240199
13.0,654,999.782013
17.0,748,1006.180344
25.0,793,1013.774629
24.0,771,1020.443655
37.0,958,1029.145982
14.0,570,1034.254151
23.0,734,1040.795666
32.0,843,1047.910884
34.0,1037,1057.252439
20.0,622,1062.925573
23.0,874,1070.369448
13.0,462,1074.142925
19.0,631,1079.792951
18.0,753,1086.075235
21.0,626,1091.564709
18.0,492,1096.132799
25.0,490,1100.22575
22.0,752,1106.680692
22.0,814,1113.607261
23.0,642,1119.69201
47.0,948,1127.877888
21.0,696,1133.701514
29.0,1059,1143.400073
30.0,867,1150.579263
27.0,765,1157.259319
14.0,573,1162.037503
15.0,724,1168.063984
17.0,634,1173.217079
17.0,517,1177.54336
14.0,530,1181.985351
12.0,503,1186.089685
21.0,770,1192.461488
31.0,999,1200.638669
26.0,753,1206.860518
21.0,607,1211.944792
15.0,616,1217.48523
22.0,504,1221.912171
20.0,742,1228.552627
29.0,973,1236.485971
18.0,492,1240.543953
31.0,867,1248.389245
21.0,641,1253.768683
30.0,968,1261.715396
57.0,1261,1272.370004
36.0,998,1280.702104
39.0,1188,1290.384816
53.0,1191,1300.463386
14.0,676,1306.040121
27.0,843,1313.029193
14.0,635,1318.072431
24.0,708,1324.074145
34.0,698,1330.295554
15.0,646,1336.181855
23.0,691,1342.013814
13.0,547,1346.770298
18.0,737,1352.757667
17.0,729,1359.023124
42.0,1040,1367.84332
24.0,623,1373.068828
48.0,1325,1384.115275
35.0,945,1392.086433
40.0,840,1399.202486
29.0,842,1406.047231
22.0,623,1411.29167
27.0,798,1417.879913
27.0,730,1423.864177
42.0,1296,1434.719343
54.0,1503,1447.400394
14.0,617,1452.645314
35.0,908,1460.424824
18.0,670,1466.025725
36.0,961,1474.186398
33.0,590,1479.286934
27.0,906,1486.822648
51.0,1279,1498.567936
20.0,688,1504.342473
18.0,516,1508.559346
29.0,714,1514.387751
10.0,454,1518.2295
47.0,1084,1527.478343
47.0,745,1533.815253
15.0,651,1539.334582
27.0,762,1545.749856
36.0,966,1553.74732
23.0,759,1560.623255
52.0,1250,1571.149671
51.0,1112,1580.408839
65.0,1363,1591.990402
50.0,902,1599.50036
27.0,653,1604.898379
52.0,1144,1614.077957
46.0,1101,1623.611813
25.0,506,1627.779165
48.0,814,1634.484582
20.0,805,1641.029399
21.0,814,1647.673394
26.0,824,1654.619163
28.0,916,1662.238327
36.0,1118,1671.47061
39.0,769,1677.843006
55.0,1222,1688.810788
51.0,1365,1700.121249
37.0,1000,1708.454081
23.0,847,1715.58462
25.0,747,1721.626369
19.0,649,1727.060248
22.0,688,1732.8972
50.0,1207,1742.774388
33.0,568,1747.57376
41.0,728,1753.665645
24.0,867,1760.763428
29.0,554,1765.620492
32.0,793,1772.222337
18.0,704,1778.050231
46.0,902,1785.530911
56.0,1189,1795.675067
74.0,1276,1806.848948
94.0,1163,1816.518714
56.0,1213,1828.06613
24.0,731,1834.215497
62.0,1459,1847.419612
43.0,986,1856.36109
38.0,1088,1865.271384
27.0,713,1871.286119
37.0,1073,1880.556241
20.0,560,1886.394426
65.0,1365,1898.188965
67.0,1337,1909.669965
67.0,1400,1922.612369
19.0,654,1928.227231
24.0,672,1933.837847
66.0,1548,1947.167538
211.0,1665,1961.910829
61.0,1159,1971.711577
74.0,1345,1983.220676
59.0,1098,1993.103605
64.0,1243,2003.537531
46.0,1019,2012.359682
47.0,1029,2021.617112
49.0,1028,2030.603808
30.0,713,2036.602368
67.0,1282,2047.50373
59.0,1003,2055.797205
52.0,1223,2066.427229
57.0,1054,2075.383199
28.0,651,2080.76758
53.0,801,2088.098687
60.0,1359,2099.332653
62.0,1404,2111.082287
84.0,1365,2122.484919
29.0,935,2130.685441
30.0,482,2134.696912
122.0,1455,2148.975116
53.0,1368,2161.484138
76.0,1153,2171.02028
54.0,1362,2182.569874
50.0,619,2187.700918
35.0,658,2193.105286
