#{"t_start": 1522701142.748899, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,3.163794
1.0,169,4.50694
0.0,129,5.540171
0.0,125,6.599315
0.0,127,7.632607
10.0,454,11.679643
2.0,202,13.385088
1.0,157,14.662558
5.0,376,17.73038
1.0,176,19.375394
5.0,350,22.481918
0.0,129,23.523255
0.0,129,24.613712
0.0,127,25.758527
0.0,129,26.825775
0.0,129,27.952275
0.0,129,29.052768
2.0,219,31.01618
0.0,125,32.087941
4.0,299,34.603112
0.0,129,35.68185
0.0,127,36.703194
10.0,434,40.454238
1.0,170,42.040751
2.0,200,43.604628
3.0,270,45.860269
0.0,127,46.847228
1.0,155,48.098697
0.0,127,49.131532
5.0,350,52.212248
0.0,127,53.257851
0.0,127,54.235638
4.0,263,56.496314
0.0,125,57.558611
0.0,127,58.828855
0.0,127,59.945792
1.0,173,61.383418
0.0,129,62.540802
0.0,129,63.727714
9.0,404,67.184731
1.0,175,68.579704
0.0,125,69.616609
3.0,268,72.179267
0.0,129,73.344087
3.0,248,76.165894
1.0,157,77.809356
1.0,174,79.219945
1.0,175,80.821894
1.0,174,82.30236
2.0,190,83.822547
2.0,218,85.766332
2.0,200,87.339068
0.0,125,88.428436
1.0,153,89.725487
0.0,125,90.745644
1.0,153,92.012176
0.0,127,93.016165
1.0,171,94.397786
0.0,129,95.415855
0.0,129,96.480883
2.0,198,98.050507
1.0,177,99.679199
0.0,129,100.746154
2.0,202,102.332152
13.0,457,106.381205
3.0,218,108.143146
2.0,202,109.865649
0.0,129,110.917745
5.0,350,113.749779
3.0,253,115.868132
0.0,129,116.902735
0.0,127,117.89103
0.0,129,118.911267
2.0,223,120.683778
6.0,322,123.523671
5.0,317,126.098699
9.0,404,129.618855
3.0,214,131.435369
3.0,232,133.204687
0.0,125,134.197553
2.0,204,135.992832
0.0,129,137.005022
2.0,181,138.436666
2.0,203,139.967964
5.0,350,143.024614
3.0,254,145.119284
8.0,279,147.509312
12.0,497,151.878595
4.0,280,154.138656
4.0,276,156.509426
1.0,155,157.779755
2.0,183,159.155651
5.0,347,162.297446
6.0,346,165.389117
8.0,299,167.902748
7.0,428,171.515994
8.0,475,176.304682
4.0,278,178.615583
19.0,661,184.245914
15.0,619,190.17288
12.0,321,193.017133
4.0,301,195.468977
7.0,371,198.640142
3.0,214,200.264113
13.0,575,205.250323
2.0,204,206.871867
11.0,406,210.273847
16.0,455,214.219685
8.0,297,216.768778
6.0,359,219.825806
13.0,333,222.49422
6.0,385,225.754292
5.0,330,228.76624
18.0,570,233.667233
10.0,361,236.71319
15.0,549,241.261568
9.0,422,244.777756
5.0,315,247.343555
12.0,509,251.601806
5.0,330,254.421209
8.0,447,258.156631
12.0,516,262.487698
7.0,407,265.855933
16.0,649,271.328423
5.0,308,273.775944
12.0,491,277.981144
5.0,314,280.557407
16.0,727,287.359981
11.0,538,291.895821
13.0,348,294.9358
17.0,599,300.20075
14.0,568,305.145278
5.0,292,307.629175
8.0,500,311.901168
11.0,472,315.849811
8.0,299,318.308609
11.0,457,322.228048
8.0,452,325.834497
16.0,450,329.85218
11.0,576,334.992765
6.0,387,338.299553
8.0,433,342.022929
14.0,512,346.730812
11.0,521,351.122622
7.0,418,354.544286
26.0,758,361.059008
14.0,548,365.69693
11.0,526,370.070105
16.0,479,374.171543
14.0,579,378.946064
10.0,375,382.138637
11.0,573,387.054755
16.0,650,392.589904
12.0,558,397.611094
8.0,436,401.359417
11.0,551,406.467233
25.0,760,413.004267
15.0,643,418.524174
13.0,534,423.039654
20.0,490,427.148227
14.0,636,432.513391
13.0,523,436.668939
11.0,502,440.895605
17.0,629,446.346096
13.0,316,448.995088
10.0,357,452.048146
14.0,627,457.284614
13.0,568,462.107707
22.0,682,467.825441
11.0,577,472.720641
17.0,603,477.722652
8.0,480,482.048287
12.0,569,486.845852
13.0,639,492.273624
13.0,616,497.570325
9.0,428,501.084195
13.0,624,506.421364
17.0,648,511.877913
15.0,574,516.602427
14.0,580,521.735364
9.0,418,525.215823
13.0,532,529.635872
18.0,603,534.779818
16.0,589,539.543793
9.0,468,543.620687
13.0,616,548.688439
15.0,632,553.911441
11.0,430,557.537404
9.0,483,561.616781
13.0,614,567.355917
12.0,604,572.506541
11.0,557,578.650316
13.0,702,584.517385
12.0,475,588.514513
11.0,559,593.172745
13.0,609,598.087815
15.0,598,603.102889
6.0,344,606.001596
9.0,347,608.744967
23.0,832,615.945094
13.0,505,619.953568
14.0,716,626.144924
24.0,728,632.708677
28.0,854,640.873145
13.0,526,645.408002
16.0,631,651.305948
18.0,671,656.83476
15.0,616,662.172168
18.0,446,665.799939
17.0,506,670.040811
25.0,781,676.524469
14.0,382,679.715364
15.0,456,683.371065
15.0,674,689.030269
14.0,396,692.421556
7.0,463,696.37657
15.0,660,701.834617
19.0,741,708.054921
13.0,616,713.073736
11.0,533,717.422436
21.0,756,723.746355
14.0,485,727.862308
14.0,602,732.836574
20.0,706,739.106715
14.0,592,744.396302
13.0,552,750.733734
15.0,653,756.338684
21.0,722,762.299852
18.0,580,767.132818
19.0,671,773.709932
8.0,462,777.655325
10.0,491,781.927415
19.0,568,786.736098
16.0,543,791.401731
15.0,514,796.181237
17.0,770,803.22977
19.0,686,808.944715
30.0,755,815.49011
20.0,664,821.479151
28.0,771,828.027098
30.0,606,833.210447
29.0,903,841.709831
15.0,531,846.161487
20.0,594,851.012817
19.0,561,856.206006
24.0,841,863.434279
11.0,404,866.767241
13.0,531,871.162144
27.0,1076,880.692821
21.0,791,887.687341
25.0,701,893.877015
13.0,488,898.382884
9.0,509,903.550484
17.0,606,908.933963
13.0,576,914.200649
15.0,707,920.60396
11.0,582,925.484576
20.0,707,931.594731
18.0,797,938.393585
10.0,518,942.693339
20.0,819,949.40425
30.0,933,957.259676
23.0,777,963.905356
16.0,551,968.618338
13.0,613,973.866704
11.0,560,978.439385
20.0,697,984.511402
19.0,712,990.691278
14.0,537,995.225755
24.0,795,1001.988916
38.0,977,1010.45684
19.0,675,1016.985162
25.0,1020,1026.054731
18.0,677,1031.990829
29.0,773,1038.976058
20.0,640,1044.546826
30.0,861,1052.385512
20.0,781,1059.065678
17.0,378,1062.37388
21.0,590,1067.475579
39.0,1195,1077.925194
35.0,1097,1087.225111
22.0,866,1095.165294
23.0,694,1101.113602
35.0,978,1109.288998
34.0,913,1117.797502
20.0,690,1123.72321
32.0,998,1132.452221
27.0,1030,1141.575438
17.0,640,1147.169637
19.0,599,1152.196878
26.0,970,1160.516093
17.0,659,1165.964183
25.0,660,1171.296979
24.0,898,1178.874315
17.0,774,1185.319174
35.0,923,1192.932166
26.0,703,1198.636718
28.0,973,1206.751239
32.0,956,1214.611162
19.0,695,1221.40339
11.0,541,1226.287891
30.0,868,1233.322047
30.0,939,1241.203624
18.0,777,1248.05213
29.0,831,1255.098211
17.0,736,1261.227296
18.0,715,1267.006844
36.0,1001,1275.526407
47.0,1313,1286.330983
26.0,938,1294.153648
37.0,967,1302.339623
32.0,944,1310.136088
28.0,730,1315.944383
23.0,817,1322.904613
37.0,1211,1334.032334
28.0,776,1340.554363
24.0,601,1345.772717
27.0,779,1352.209286
14.0,589,1357.063923
22.0,929,1364.917844
20.0,760,1371.362369
13.0,597,1376.356477
25.0,677,1381.858946
16.0,669,1387.495454
29.0,743,1393.863716
48.0,1256,1404.175636
45.0,1288,1415.021866
29.0,702,1420.921333
41.0,995,1429.027276
31.0,729,1435.302333
37.0,856,1442.330202
35.0,722,1448.389248
36.0,942,1456.363982
25.0,900,1464.023716
33.0,903,1471.759697
15.0,617,1476.980643
29.0,1052,1485.850055
50.0,1053,1495.723777
72.0,1452,1507.84507
46.0,789,1514.357948
39.0,835,1521.441449
27.0,834,1528.585974
28.0,948,1536.678717
46.0,770,1543.123571
45.0,1030,1551.678991
22.0,788,1558.787136
35.0,1107,1568.192062
26.0,885,1575.616085
69.0,1530,1588.410738
31.0,1080,1597.534686
32.0,893,1604.994642
33.0,767,1611.167849
33.0,1043,1619.836648
38.0,456,1623.76762
28.0,761,1630.148186
40.0,1074,1638.93804
30.0,719,1644.85372
24.0,794,1651.390923
33.0,635,1656.688269
24.0,835,1663.504055
41.0,1126,1673.053821
32.0,857,1679.992607
21.0,612,1685.707454
35.0,857,1692.96139
12.0,517,1697.012821
53.0,1322,1708.203387
45.0,1186,1718.117688
25.0,676,1723.600214
28.0,861,1730.891454
22.0,718,1736.629311
66.0,1490,1749.3006
41.0,870,1756.422264
42.0,1059,1765.572247
68.0,1570,1778.817446
47.0,1124,1788.169369
55.0,1258,1799.11374
56.0,1279,1809.987232
16.0,663,1815.440889
37.0,1065,1825.720887
57.0,1279,1836.462306
56.0,1246,1848.051169
46.0,1115,1857.861173
77.0,1350,1869.213178
45.0,1145,1879.174577
22.0,774,1887.031204
49.0,747,1893.171316
41.0,1109,1902.629581
46.0,1178,1912.811729
40.0,1078,1922.895334
46.0,1274,1933.818282
43.0,1097,1943.404352
31.0,936,1951.199813
29.0,1126,1961.247903
48.0,1069,1970.42473
45.0,839,1977.296396
65.0,1399,1989.938778
80.0,1510,2002.875097
39.0,1000,2011.403933
55.0,970,2020.153058
82.0,1344,2031.755268
32.0,839,2038.928792
49.0,1135,2048.321966
53.0,1128,2057.970164
61.0,1196,2068.207018
25.0,708,2074.22709
54.0,1204,2084.995178
48.0,1130,2094.428839
24.0,754,2100.825747
92.0,1468,2113.004753
94.0,1333,2123.966377
116.0,1684,2139.478508
48.0,1320,2152.56443
73.0,1305,2163.745053
16.0,553,2168.275532
30.0,801,2174.990582
56.0,1244,2185.393656
55.0,1275,2195.94412
104.0,1535,2209.077866
43.0,1011,2217.528267
49.0,1144,2227.342927
289.0,1480,2239.731951
51.0,1178,2249.464845
68.0,1541,2262.440978
92.0,1479,2275.113282
74.0,1189,2285.11024
44.0,849,2292.256526
78.0,1443,2304.89438
50.0,980,2313.122411
94.0,1453,2325.157551
57.0,1209,2335.664109
37.0,692,2341.275893
78.0,1354,2352.695971
53.0,1001,2361.041274
104.0,1641,2375.207974
109.0,1500,2388.158423
74.0,1362,2399.36626
64.0,1174,2409.246075
84.0,1631,2423.421365
30.0,967,2431.334105
26.0,818,2438.264533
48.0,1189,2448.051236
73.0,1285,2458.767389
83.0,1259,2469.511414
55.0,1214,2480.227957
59.0,1253,2490.545825
113.0,1339,2502.147602
32.0,748,2508.327184
60.0,1299,2519.278176
225.0,924,2527.185335
59.0,1000,2535.867071
61.0,820,2542.756283
66.0,1201,2552.793047
44.0,1058,2561.606207
62.0,1192,2571.510077
82.0,1432,2583.411745
32.0,693,2589.241473
334.0,1321,2601.062876
38.0,1075,2609.895997
47.0,1240,2620.333889
308.0,1821,2635.444375
106.0,1595,2648.79037
83.0,1403,2660.641994
110.0,1646,2675.161567
54.0,857,2682.200562
40.0,959,2690.402945
77.0,1484,2702.783746
93.0,1500,2715.345846
38.0,859,2722.258357
8.0,414,2725.738297
62.0,1178,2735.599861
111.0,1491,2748.010744
27.0,780,2754.532153
47.0,925,2762.210355
57.0,838,2769.300093
49.0,1311,2780.210355
65.0,763,2786.570934
64.0,1136,2796.091652
91.0,1285,2806.562867
224.0,1370,2818.172044
34.0,747,2824.455324
64.0,1055,2833.217062
92.0,1526,2845.96746
65.0,1017,2855.483181
122.0,1440,2867.505357
62.0,1191,2878.387755
75.0,1044,2886.903132
58.0,1217,2896.846812
60.0,1338,2908.16522
357.0,1049,2917.028224
50.0,1103,2925.965494
225.0,1187,2935.906881
62.0,1241,2946.486572
51.0,1150,2956.105951
111.0,1392,2968.987088
113.0,1618,2983.493844
89.0,1269,2994.542349
392.0,1220,3005.069837
48.0,967,3013.309034
164.0,1816,3028.384499
188.0,1429,3040.228858
117.0,1441,3052.169038
354.0,1173,3062.061953
121.0,1485,3074.55752
44.0,1054,3083.249235
229.0,1724,3097.719739
75.0,966,3105.925694
148.0,1747,3120.971192
57.0,932,3128.89244
81.0,1583,3142.201547
31.0,606,3147.545107
42.0,821,3154.981714
42.0,1007,3163.200059
48.0,1026,3171.611059
50.0,964,3179.66947
71.0,1224,3190.014761
133.0,1720,3204.409289
53.0,1091,3213.788639
35.0,879,3221.209719
104.0,1169,3231.028382
224.0,1674,3244.947915
54.0,1195,3255.210127
112.0,1495,3267.518529
242.0,1614,3281.804214
79.0,1062,3290.718367
69.0,1198,3300.574145
47.0,1070,3309.596288
134.0,1800,3324.626647
35.0,1100,3333.81943
113.0,1782,3349.342721
98.0,1394,3362.073547
67.0,1035,3371.600997
66.0,1211,3381.828549
264.0,1735,3396.289031
70.0,1297,3408.464828
114.0,1599,3423.138934
98.0,1377,3434.236144
137.0,1480,3446.630433
68.0,816,3453.192163
40.0,553,3457.628779
88.0,1322,3468.792812
70.0,857,3475.713039
77.0,1365,3487.069209
86.0,1345,3498.012237
169.0,1467,3510.066702
289.0,1537,3522.830015
113.0,1555,3535.99003
59.0,1205,3546.133264
231.0,1349,3557.065503
41.0,897,3564.589834
125.0,1659,3578.594849
80.0,735,3584.534129
350.0,1852,3600.864566
142.0,1504,3613.519432
105.0,1696,3627.727508
229.0,1734,3641.895278
61.0,1057,3650.631857
296.0,1587,3664.005077
106.0,1606,3677.470458
51.0,1104,3686.538897
112.0,1456,3698.88526
134.0,1758,3713.546163
52.0,891,3720.858787
246.0,1655,3735.508509
358.0,1663,3749.205508
258.0,1464,3761.263845
85.0,1123,3770.993084
231.0,1693,3784.979983
29.0,810,3792.18493
47.0,1027,3800.543295
136.0,1677,3814.605963
131.0,1451,3827.551683
72.0,1203,3837.774422
151.0,1703,3852.111443
89.0,1354,3863.620361
55.0,937,3871.56788
101.0,1292,3882.171719
59.0,1017,3890.648708
84.0,1394,3902.48976
22.0,859,3909.76902
383.0,1575,3923.138471
381.0,1753,3938.745745
109.0,1536,3952.060412
129.0,1423,3964.117331
69.0,892,3971.46587
82.0,1370,3983.910895
314.0,1505,3996.870468
77.0,1498,4009.716199
95.0,1293,4021.135496
56.0,1153,4030.995697
106.0,1360,4042.987906
88.0,1516,4056.193291
65.0,1364,4067.808871
37.0,985,4075.995398
294.0,1937,4092.845324
291.0,1541,4106.74329
181.0,1654,4120.508981
387.0,1738,4135.871367
65.0,1180,4145.840762
215.0,1371,4157.234432
250.0,1330,4168.730895
146.0,1473,4181.830971
94.0,857,4189.487733
55.0,1178,4199.561738
223.0,1328,4211.079484
244.0,1814,4226.81807
360.0,1091,4235.979943
53.0,1112,4246.048862
392.0,1365,4257.981419
48.0,756,4264.084524
52.0,1099,4273.546901
149.0,1557,4286.186074
92.0,1196,4296.032222
258.0,1658,4311.6931
57.0,726,4318.173691
235.0,1470,4330.973276
184.0,1022,4339.858685
120.0,1641,4353.754344
122.0,1610,4367.434264
57.0,1015,4376.093189
113.0,1651,4390.755299
386.0,1976,4407.829313
313.0,1619,4421.17651
252.0,1275,4432.373668
184.0,1839,4449.23543
125.0,1493,4461.509175
58.0,1114,4471.491614
57.0,987,4479.590232
224.0,1847,4495.004892
105.0,1390,4506.892648
228.0,1530,4519.934206
190.0,1004,4528.159576
95.0,1411,4539.967484
59.0,1184,4549.713661
288.0,1491,4563.357475
124.0,1740,4577.526669
55.0,1101,4586.647138
315.0,1518,4599.013062
57.0,1025,4607.469776
391.0,1647,4621.017563
38.0,844,4627.873329
88.0,1365,4639.50604
97.0,1563,4652.795732
226.0,1980,4669.415906
89.0,1526,4684.158772
81.0,1382,4696.395965
93.0,1384,4708.250816
365.0,1394,4720.364002
311.0,2048,4738.081081
64.0,1158,4747.689997
143.0,1621,4761.541036
232.0,1216,4771.802685
126.0,1487,4785.558923
131.0,1700,4799.774728
141.0,1370,4810.826696
369.0,1513,4823.617294
168.0,1870,4839.620384
314.0,1599,4852.993663
344.0,1869,4868.790074
154.0,1645,4882.736823
44.0,866,4890.351145
245.0,1763,4905.114607
342.0,1232,4915.295594
141.0,1732,4930.237856
294.0,1595,4943.464449
312.0,1607,4957.009311
251.0,1604,4970.46958
114.0,1290,4981.054747
66.0,1169,4990.683295
254.0,1568,5003.605783
141.0,1615,5017.026011
33.0,535,5021.977875
349.0,1258,5032.47533
269.0,1346,5044.069201
21.0,552,5048.651626
397.0,1875,5064.212854
255.0,1397,5076.794624
157.0,1586,5090.211958
118.0,1263,5100.942461
335.0,1396,5112.771187
161.0,1649,5126.848839
261.0,1599,5140.000518
41.0,878,5147.27214
149.0,1516,5160.174431
199.0,1053,5168.9587
302.0,1593,5182.201825
40.0,1028,5190.776697
227.0,1408,5202.740266
75.0,1333,5214.327921
19.0,649,5219.929687
62.0,1008,5228.350606
51.0,954,5236.311851
87.0,1272,5246.994644
7.0,415,5250.409912
133.0,1725,5265.170202
358.0,1699,5279.313884
398.0,1526,5292.157103
48.0,1028,5300.607312
140.0,1583,5314.023018
100.0,1356,5325.277254
59.0,1077,5334.256352
162.0,1469,5346.449649
34.0,711,5352.198777
355.0,1979,5368.701767
385.0,1913,5384.876886
92.0,1222,5394.998973
246.0,1270,5405.467764
199.0,1648,5419.265248
72.0,748,5425.325458
390.0,1791,5440.330379
31.0,897,5447.730814
340.0,2025,5465.179116
153.0,1537,5477.994342
55.0,1169,5487.819882
41.0,799,5494.638624
33.0,839,5501.57648
53.0,759,5507.99177
127.0,1241,5518.26713
352.0,1257,5528.861157
369.0,2289,5548.251255
400.0,2141,5566.07911
398.0,1935,5582.579818
83.0,1235,5592.695666
151.0,1342,5604.40986
255.0,1558,5617.357949
138.0,1630,5630.886079
410.0,1859,5646.637368
404.0,1914,5662.844418
104.0,1531,5675.491229
308.0,1669,5689.487492
93.0,1259,5699.989764
66.0,1067,5709.290799
173.0,1068,5718.156284
301.0,2216,5736.620147
33.0,894,5744.177439
382.0,2011,5760.89405
91.0,1345,5772.166407
52.0,843,5778.924013
398.0,2132,5796.877242
344.0,1805,5812.178225
237.0,1756,5826.467327
111.0,1539,5839.352776
143.0,1662,5853.363365
32.0,859,5860.981449
102.0,1311,5872.042089
386.0,2222,5890.59873
247.0,1882,5906.577231
328.0,1637,5920.068919
46.0,1122,5929.975617
412.0,1997,5946.883234
350.0,1996,5963.494485
87.0,1505,5976.125945
383.0,1527,5988.755322
381.0,1643,6002.479547
179.0,1401,6014.458269
381.0,1668,6028.366972
112.0,1130,6037.764099
122.0,1680,6051.7117
378.0,1910,6067.441002
121.0,1285,6078.235499
182.0,1186,6088.31795
356.0,1765,6102.866025
239.0,1778,6117.867489
246.0,1904,6133.669654
336.0,1586,6147.122145
393.0,1760,6161.698449
361.0,2102,6179.3006
292.0,1901,6195.219637
245.0,1704,6209.397415
93.0,1078,6218.416313
130.0,1394,6230.01152
366.0,1684,6244.228406
283.0,1178,6254.060837
256.0,1653,6268.003248
332.0,1994,6284.734277
109.0,1349,6296.208217
383.0,1853,6311.636804
290.0,2034,6329.110643
101.0,1471,6341.332132
162.0,1872,6357.258354
318.0,1361,6368.496856
184.0,1490,6381.022225
260.0,1899,6396.829302
62.0,994,6405.026384
97.0,1184,6414.98664
323.0,2318,6434.400429
281.0,1529,6446.930417
258.0,1701,6461.210344
31.0,863,6468.169302
28.0,703,6474.219579
50.0,985,6482.417083
110.0,1639,6495.939112
70.0,1405,6507.616596
125.0,889,6515.046442
96.0,1632,6528.470956
212.0,1448,6540.559603
156.0,1611,6554.151205
397.0,1631,6567.904198
373.0,1859,6583.367682
55.0,1043,6591.946632
234.0,1541,6604.755503
236.0,1682,6618.807383
417.0,2311,6637.934882
396.0,2271,6657.775093
421.0,2050,6675.049293
376.0,1396,6686.680604
173.0,1471,6699.151318
138.0,1561,6713.159301
139.0,1592,6726.337571
181.0,1351,6737.596684
380.0,2158,6755.768911
70.0,765,6762.114271
352.0,1625,6775.686467
342.0,1631,6789.303267
328.0,1679,6803.751045
351.0,2136,6821.709246
415.0,1859,6837.264077
63.0,1099,6846.797815
330.0,1901,6863.787847
341.0,1585,6876.93876
394.0,1707,6891.108666
125.0,1454,6903.16309
260.0,1466,6915.587768
99.0,1188,6925.526854
332.0,1813,6940.562308
366.0,1670,6954.508786
109.0,1507,6966.953863
110.0,1281,6977.602902
159.0,1359,6989.152107
293.0,1646,7002.82708
124.0,1556,7015.917358
144.0,1552,7028.896126
310.0,2069,7046.187134
323.0,1384,7057.621266
316.0,1506,7070.24017
369.0,1357,7081.73985
48.0,1072,7090.740423
70.0,1334,7101.872271
114.0,1341,7113.65939
390.0,2244,7132.562013
399.0,1912,7148.737581
233.0,1780,7164.734344
109.0,1440,7176.583775
68.0,1310,7187.528321
226.0,1699,7201.612796
208.0,1864,7217.249835
371.0,2005,7234.038095
249.0,1822,7249.445574
167.0,1112,7258.92429
420.0,2933,7283.410068
408.0,1588,7297.02212
395.0,1976,7313.612465
219.0,1669,7327.731771
159.0,1439,7339.714178
123.0,1392,7351.288176
307.0,1374,7362.962246
100.0,1411,7374.588896
426.0,2561,7396.880952
408.0,1275,7407.497069
60.0,1295,7418.278487
363.0,1925,7434.460341
203.0,1938,7450.732847
238.0,1625,7464.360648
50.0,932,7472.014541
309.0,1860,7487.311976
418.0,2307,7507.206256
29.0,755,7513.482361
47.0,1097,7522.611591
274.0,1419,7534.489657
359.0,2029,7551.264177
39.0,1060,7560.067748
402.0,1109,7569.328247
294.0,2030,7586.378043
79.0,1392,7598.083847
301.0,1596,7611.314971
59.0,1202,7621.296311
179.0,1694,7635.643714
383.0,1446,7647.713877
339.0,1707,7662.26726
124.0,1661,7676.202076
61.0,1398,7687.693835
52.0,1123,7697.036053
198.0,1919,7712.762391
160.0,1691,7726.844599
129.0,1660,7740.693696
396.0,1735,7754.959979
117.0,1681,7769.064014
382.0,1439,7781.398632
248.0,1610,7794.905941
413.0,1727,7809.186478
376.0,1813,7824.21223
45.0,1090,7833.331856
107.0,1438,7845.196232
210.0,1161,7854.80773
43.0,977,7862.729897
77.0,1518,7875.466072
400.0,1712,7890.183924
36.0,974,7898.344532
378.0,1571,7911.42615
285.0,1546,7924.387848
155.0,1622,7938.055156
129.0,1406,7949.63281
34.0,794,7956.368297
181.0,1414,7968.6145
388.0,3078,7994.696469
402.0,1833,8010.06028
294.0,1669,8023.909839
47.0,1232,8034.089506
198.0,1359,8045.678989
270.0,1248,8056.066067
409.0,1559,8069.134966
426.0,2420,8089.47832
273.0,1596,8102.927771
143.0,1593,8116.388066
408.0,2392,8136.424426
209.0,1740,8151.084502
229.0,1166,8160.77944
247.0,1580,8173.781031
395.0,1718,8188.145209
168.0,1637,8201.840793
78.0,1061,8211.015919
256.0,1615,8224.545838
75.0,1371,8235.793003
343.0,2108,8254.399405
298.0,1597,8267.812889
240.0,1767,8282.546445
365.0,1844,8297.763246
319.0,2011,8314.569998
411.0,2370,8335.468841
213.0,1372,8346.925623
377.0,1966,8364.495618
402.0,1597,8377.68644
333.0,1605,8391.152899
257.0,1260,8401.667573
318.0,1459,8413.936
341.0,1196,8423.801705
157.0,1600,8437.188959
147.0,1642,8451.008931
356.0,2265,8470.129788
222.0,829,8476.947909
414.0,2273,8495.856255
391.0,1678,8509.758205
129.0,1434,8521.873878
42.0,660,8527.211621
91.0,1308,8538.052678
380.0,1316,8549.016765
55.0,929,8556.599596
159.0,1717,8571.030922
121.0,1421,8583.728118
317.0,1681,8597.738922
354.0,3066,8624.696599
18.0,591,8629.726626
42.0,918,8637.359324
63.0,1305,8648.23929
363.0,1970,8664.649571
33.0,961,8672.701639
378.0,2462,8693.388817
54.0,789,8699.927836
114.0,1276,8710.751568
19.0,653,8716.493197
64.0,805,8723.076924
33.0,987,8731.372874
36.0,979,8739.543751
82.0,1261,8750.211999
369.0,2156,8768.361371
22.0,844,8775.312141
76.0,1430,8787.458013
22.0,657,8792.993246
104.0,1354,8804.552292
243.0,896,8812.397386
293.0,1588,8825.48765
381.0,1667,8839.668195
367.0,1882,8855.164071
68.0,1370,8866.640668
350.0,1984,8883.160651
56.0,921,8890.801683
208.0,1506,8903.357254
411.0,1788,8918.451116
360.0,2044,8935.622998
31.0,708,8941.396515
48.0,951,8949.439591
417.0,2427,8970.457251
400.0,1689,8985.621517
326.0,1559,8998.611783
428.0,3560,9028.620815
213.0,704,9034.515115
377.0,2054,9051.74356
362.0,1672,9065.894396
90.0,1406,9077.39569
51.0,1018,9085.822443
65.0,1147,9095.34102
