#{"t_start": 1522701142.7603233, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,201,3.3474
0.0,129,4.400226
1.0,175,5.819456
3.0,245,7.932534
0.0,123,8.897954
1.0,173,10.456155
5.0,352,13.516421
0.0,125,14.555339
0.0,125,15.389411
0.0,127,16.360385
0.0,129,17.405781
0.0,127,18.496963
3.0,252,20.827354
0.0,129,21.947201
2.0,202,23.553597
0.0,127,24.630149
1.0,170,26.103587
5.0,352,29.332234
0.0,129,30.537118
0.0,125,31.675006
3.0,268,33.938077
1.0,157,35.250419
3.0,216,36.971077
3.0,250,39.094059
0.0,125,40.15411
2.0,198,41.949296
0.0,127,42.761048
1.0,169,44.309137
0.0,129,45.370833
2.0,202,46.892629
0.0,129,47.920484
4.0,299,50.444058
4.0,321,53.330774
0.0,129,54.322407
0.0,129,55.349121
0.0,127,56.411513
4.0,319,59.603885
2.0,224,61.451869
3.0,248,63.826539
3.0,248,65.973247
9.0,404,69.411579
5.0,350,72.827618
7.0,450,77.824785
0.0,123,78.840216
5.0,352,82.025381
2.0,220,83.784441
2.0,200,85.61564
2.0,204,87.199798
0.0,127,88.305701
1.0,155,89.625022
1.0,155,90.876268
4.0,298,93.396087
1.0,155,94.635097
0.0,125,95.618975
2.0,223,97.584448
1.0,173,99.00655
0.0,127,100.053786
2.0,200,101.816638
1.0,155,103.056631
5.0,350,105.891198
0.0,125,106.955443
2.0,202,108.74738
0.0,125,109.530639
0.0,125,110.563484
1.0,153,111.828605
1.0,155,113.22068
2.0,201,114.733727
2.0,201,116.279592
3.0,214,118.093101
4.0,279,120.452725
1.0,155,121.715817
3.0,228,123.66265
2.0,224,125.553533
5.0,372,128.614844
2.0,184,130.257922
6.0,340,132.984974
2.0,225,134.934188
4.0,265,137.127969
1.0,155,138.353926
4.0,260,140.502809
1.0,155,141.75554
4.0,293,144.153203
3.0,226,146.111653
7.0,361,149.089119
7.0,426,152.896466
6.0,367,155.875138
5.0,350,158.926653
1.0,175,160.371705
1.0,152,161.598692
3.0,231,163.570437
11.0,446,167.444987
2.0,184,169.091452
11.0,430,172.656163
2.0,186,174.787435
3.0,230,176.777361
6.0,360,179.861258
10.0,380,183.080956
2.0,223,184.802805
2.0,199,187.144286
12.0,497,191.428096
7.0,407,194.991084
5.0,298,197.44067
10.0,378,200.650088
6.0,379,203.681746
12.0,503,208.055405
5.0,337,210.899836
8.0,477,214.96121
4.0,248,217.014038
13.0,369,220.132915
12.0,444,223.772868
3.0,219,225.629684
7.0,375,229.003418
7.0,453,232.883454
9.0,330,235.696379
6.0,403,239.010424
5.0,307,241.490072
13.0,504,245.78019
9.0,423,249.309745
11.0,388,252.477872
6.0,377,255.677319
5.0,308,258.271626
3.0,237,260.208215
17.0,661,265.728415
8.0,447,269.43864
10.0,563,274.239749
8.0,472,278.103816
13.0,478,282.706398
10.0,381,285.978263
11.0,488,289.94033
13.0,495,294.260196
7.0,394,297.583105
18.0,627,303.207919
9.0,467,307.115395
12.0,285,309.709406
11.0,549,314.338693
8.0,277,316.643151
11.0,531,321.118176
13.0,496,325.273659
9.0,467,329.128729
17.0,574,334.329571
11.0,518,338.741429
14.0,522,343.557205
12.0,557,348.535992
14.0,564,353.142673
13.0,598,358.326509
11.0,422,361.851178
9.0,471,365.785101
19.0,726,371.90828
10.0,548,376.540156
10.0,519,380.854548
11.0,535,385.506111
8.0,296,387.971114
12.0,522,392.397795
12.0,575,397.527483
13.0,550,402.323336
19.0,574,407.554158
11.0,509,411.938137
16.0,726,418.2161
13.0,505,422.341108
12.0,576,427.267271
15.0,542,431.784149
13.0,586,436.565187
9.0,465,440.496658
20.0,774,447.300492
16.0,479,451.211674
12.0,620,456.439233
16.0,665,462.13733
13.0,567,467.062705
19.0,703,472.823546
12.0,474,476.891716
10.0,411,480.310902
7.0,346,483.34015
16.0,646,488.862271
13.0,619,494.132439
5.0,310,496.632358
12.0,577,501.63569
16.0,485,505.628743
7.0,389,508.794875
12.0,527,513.284485
6.0,323,515.959559
21.0,639,521.5237
8.0,423,525.030802
15.0,667,530.581374
6.0,354,533.612387
15.0,517,537.726994
10.0,539,542.419358
20.0,828,549.397009
18.0,680,555.137158
15.0,627,560.344987
10.0,552,565.297548
13.0,632,570.902489
10.0,463,575.843783
7.0,386,579.276222
28.0,839,586.513289
11.0,571,591.238376
15.0,703,597.195602
20.0,778,603.694243
12.0,601,608.585797
16.0,624,613.862178
18.0,600,618.832767
19.0,672,624.72001
17.0,626,629.973985
16.0,470,634.512844
23.0,744,641.570429
17.0,519,646.025532
26.0,760,652.78179
17.0,755,659.218947
16.0,743,665.561304
26.0,847,672.58892
18.0,726,678.693289
9.0,469,682.690071
14.0,383,685.637765
26.0,767,692.251523
23.0,741,698.492434
24.0,668,704.114526
27.0,878,711.449019
23.0,651,716.813004
19.0,707,722.616707
