#{"t_start": 1522701142.8249128, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,254,3.655872
2.0,221,5.619622
1.0,155,6.869443
0.0,127,7.924255
1.0,176,9.443256
0.0,129,10.53056
0.0,129,11.60717
5.0,351,14.638202
3.0,250,16.730743
0.0,129,17.609184
2.0,204,19.48653
2.0,198,21.192303
1.0,170,22.809575
2.0,186,24.28291
0.0,129,25.394156
0.0,129,26.510627
1.0,155,27.841262
2.0,202,29.534496
0.0,125,30.724567
4.0,299,33.293797
2.0,204,35.136013
1.0,153,36.35181
1.0,153,37.649042
1.0,153,38.834876
0.0,129,39.90895
2.0,204,41.559393
0.0,127,42.564286
1.0,173,44.136498
0.0,127,45.011511
3.0,246,47.042307
5.0,329,49.965376
0.0,127,50.996465
4.0,297,53.562611
0.0,129,54.707653
0.0,129,55.733685
5.0,329,58.778093
0.0,127,59.895909
0.0,127,60.949196
10.0,434,65.002914
2.0,202,66.705554
3.0,254,68.869906
11.0,456,73.074211
0.0,125,74.473186
0.0,127,75.871944
1.0,172,77.650013
1.0,157,78.949801
2.0,198,80.518745
1.0,153,82.021689
2.0,220,83.795132
1.0,171,85.173545
1.0,175,86.760224
0.0,127,87.844535
7.0,321,90.602172
0.0,125,91.664659
0.0,127,92.685781
0.0,125,93.720606
0.0,129,94.552328
0.0,127,95.572188
2.0,185,97.246716
1.0,157,98.533333
4.0,299,101.061239
1.0,155,102.310719
4.0,299,104.777013
2.0,184,106.452504
0.0,127,107.500274
2.0,206,109.106807
2.0,208,110.94117
2.0,202,112.505318
5.0,326,115.10792
7.0,433,118.923905
1.0,157,120.179744
1.0,157,121.468185
5.0,350,124.497108
4.0,257,126.6235
8.0,447,130.451715
9.0,454,134.204263
3.0,230,136.17143
5.0,325,138.815856
4.0,276,141.288898
10.0,429,144.872985
0.0,127,145.924846
0.0,129,146.935902
2.0,206,148.602721
4.0,264,150.856596
1.0,155,152.064245
5.0,326,154.923458
6.0,329,157.682935
3.0,218,159.525372
3.0,214,161.282219
3.0,216,163.141527
5.0,296,165.708269
5.0,350,168.801019
4.0,247,170.667168
4.0,300,173.979717
1.0,157,175.213296
3.0,234,177.02348
9.0,328,179.898895
4.0,263,182.038422
1.0,175,183.414827
12.0,497,188.466349
14.0,579,193.348967
4.0,261,195.52889
5.0,313,198.271055
8.0,454,202.046204
10.0,525,206.485034
5.0,331,209.200287
9.0,438,212.986678
12.0,302,215.610589
10.0,523,220.018434
3.0,254,222.137347
6.0,357,225.158432
7.0,418,228.829949
13.0,351,231.807041
7.0,373,234.92413
8.0,277,237.164752
12.0,488,241.294807
25.0,655,246.843372
8.0,423,250.361702
10.0,449,254.182055
9.0,496,258.340664
11.0,472,262.29905
8.0,421,265.757367
16.0,438,269.409538
11.0,510,273.620032
6.0,327,276.500915
8.0,419,279.954867
7.0,389,283.766852
21.0,674,289.466413
11.0,472,293.422831
6.0,358,296.499467
9.0,480,300.865091
11.0,534,305.394476
13.0,621,310.783064
17.0,579,315.700066
16.0,451,319.441241
10.0,516,323.713883
7.0,425,327.390206
10.0,392,330.839854
7.0,369,334.095432
8.0,462,338.125941
3.0,214,339.808182
19.0,622,345.564904
13.0,488,349.736233
12.0,502,353.959231
10.0,515,358.313684
8.0,422,361.837681
8.0,431,365.438359
16.0,525,369.832749
9.0,468,373.84513
12.0,443,377.48287
8.0,417,380.886081
19.0,659,386.662771
12.0,558,391.362267
17.0,406,394.771769
15.0,567,399.891369
7.0,406,403.671488
24.0,819,410.791521
14.0,365,413.889159
19.0,560,418.639495
14.0,403,422.014401
18.0,583,426.985979
11.0,503,431.033998
10.0,509,435.277938
13.0,544,439.714039
16.0,591,444.990588
19.0,570,449.81239
10.0,494,453.999395
15.0,454,457.665543
8.0,372,460.815887
17.0,675,466.572211
4.0,240,468.581701
5.0,281,470.842509
9.0,454,474.630438
14.0,382,477.92306
12.0,458,481.846853
16.0,451,485.601677
9.0,490,489.836058
12.0,550,494.423842
14.0,541,498.995053
12.0,558,503.875206
8.0,437,507.425243
14.0,586,512.248402
9.0,406,515.753569
11.0,516,519.920731
26.0,780,526.641398
14.0,620,531.889822
7.0,401,535.273379
16.0,539,539.670123
9.0,530,544.174953
12.0,578,549.167583
11.0,616,554.202322
9.0,518,558.509683
10.0,489,562.723207
7.0,403,566.443485
13.0,548,571.153681
19.0,591,577.575658
13.0,351,580.389392
13.0,523,584.858392
14.0,506,589.071786
10.0,393,592.342779
11.0,558,596.868175
20.0,539,601.542245
16.0,750,607.657092
19.0,713,613.727875
12.0,604,618.729176
14.0,589,623.811012
26.0,672,629.551486
16.0,653,635.642187
18.0,561,640.981107
15.0,657,646.640741
24.0,840,654.302343
16.0,662,659.996611
13.0,636,665.327762
21.0,794,672.00507
16.0,727,677.907856
26.0,831,684.961041
13.0,664,690.597626
14.0,546,695.231859
23.0,772,701.677542
20.0,655,707.122164
12.0,606,712.227443
11.0,372,715.104079
11.0,512,719.331486
26.0,951,727.465741
12.0,474,731.312003
11.0,424,734.807266
11.0,408,738.330289
35.0,857,746.451386
21.0,831,754.767366
18.0,722,760.885161
15.0,599,765.710147
13.0,461,770.071883
14.0,545,775.264653
21.0,729,781.649173
13.0,609,786.756776
33.0,956,795.55278
25.0,627,801.383306
17.0,684,807.15261
23.0,731,813.277895
10.0,378,816.497942
16.0,453,820.769144
30.0,815,827.619043
16.0,545,832.189505
16.0,624,837.907426
30.0,731,844.365777
13.0,638,849.756626
19.0,571,855.009547
