#{"t_start": 1522701142.815039, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.325845
5.0,331,5.503063
0.0,129,6.58718
2.0,222,8.312824
3.0,271,10.796323
0.0,129,11.869699
1.0,155,13.03444
0.0,129,14.095507
0.0,129,15.132791
1.0,157,16.355782
0.0,125,17.378529
0.0,123,18.419586
0.0,129,19.536978
0.0,127,20.678108
0.0,125,21.764094
2.0,202,23.379839
0.0,127,24.451811
0.0,129,25.578327
0.0,129,26.660653
1.0,173,28.140541
3.0,249,30.468467
0.0,127,31.634655
6.0,377,34.939448
4.0,297,37.463956
2.0,222,39.21005
1.0,155,40.685854
0.0,127,41.53561
2.0,198,43.301784
2.0,202,44.8757
3.0,250,46.953132
4.0,299,49.442748
0.0,125,50.484834
3.0,230,52.46327
2.0,200,54.204808
1.0,173,55.777555
0.0,129,56.857646
3.0,250,59.123044
0.0,125,60.19328
0.0,127,61.250945
1.0,157,62.63727
10.0,428,66.60163
0.0,129,67.474885
2.0,202,69.250437
0.0,129,70.389979
3.0,228,72.400746
1.0,176,74.33591
0.0,129,75.77002
0.0,125,76.927095
2.0,202,78.861274
2.0,198,80.427209
3.0,254,82.714811
2.0,206,84.578674
1.0,171,85.937979
3.0,232,88.009724
1.0,155,89.317949
1.0,155,90.547229
2.0,200,92.183157
5.0,329,95.065549
0.0,127,96.108575
2.0,218,97.826915
0.0,125,98.881422
0.0,129,99.937633
2.0,203,101.730967
2.0,202,103.314852
1.0,153,104.527195
5.0,352,107.661494
5.0,316,110.280406
0.0,129,111.319367
5.0,372,114.479854
5.0,350,117.306775
5.0,350,120.335179
10.0,454,124.170401
3.0,227,126.087473
3.0,214,127.955813
5.0,296,130.445664
2.0,184,131.84833
7.0,391,135.181118
6.0,376,138.426635
1.0,174,139.735419
1.0,172,141.071748
4.0,262,143.31134
13.0,459,147.317444
3.0,239,149.431106
1.0,155,150.647163
8.0,467,154.531291
4.0,261,156.743981
7.0,363,159.900888
1.0,155,161.211983
5.0,284,163.606746
1.0,155,164.897593
4.0,260,167.130322
10.0,399,170.505048
7.0,396,174.516727
18.0,512,178.965315
