#{"t_start": 1522701142.7822056, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,171,3.107385
1.0,155,4.344507
1.0,175,5.761181
0.0,129,6.809513
0.0,129,7.86799
0.0,129,8.894012
0.0,129,10.115764
0.0,129,11.180915
0.0,129,12.055515
2.0,186,13.656038
4.0,321,16.282663
2.0,220,18.251931
0.0,127,19.325778
4.0,306,22.095279
1.0,155,23.349412
0.0,125,24.393302
0.0,127,25.49013
1.0,173,26.951114
0.0,129,28.072558
3.0,271,30.608632
3.0,250,32.838753
0.0,125,33.847296
0.0,129,34.926872
4.0,306,37.551614
2.0,183,38.971642
3.0,253,41.173488
8.0,351,44.272403
1.0,155,45.526694
1.0,173,46.836821
0.0,125,47.831316
3.0,248,49.972638
2.0,198,51.53234
0.0,125,52.568879
0.0,127,53.69792
4.0,297,56.26341
0.0,125,57.324043
4.0,318,60.330373
3.0,270,62.761518
0.0,129,63.96169
2.0,200,65.736156
2.0,200,67.273746
0.0,125,68.304977
1.0,155,69.536521
1.0,176,71.168926
9.0,404,75.362679
0.0,125,76.722793
10.0,450,81.012557
0.0,125,82.09596
3.0,252,84.105781
4.0,263,86.352654
1.0,176,88.013355
0.0,127,89.105599
1.0,175,90.501859
2.0,198,92.115528
3.0,250,94.246042
0.0,129,95.26914
2.0,200,96.861672
5.0,350,99.993586
0.0,127,101.031006
3.0,226,102.981747
5.0,326,105.632614
5.0,346,108.755012
1.0,155,109.967464
2.0,220,111.719751
5.0,350,114.682123
4.0,297,117.114578
4.0,297,119.588393
4.0,297,122.280667
11.0,501,126.375786
0.0,125,127.375387
2.0,204,129.244191
0.0,125,130.243598
9.0,349,133.03304
3.0,214,134.889341
0.0,129,135.91498
5.0,326,138.598393
8.0,375,141.790038
10.0,431,145.375745
2.0,183,147.003231
3.0,213,148.723437
7.0,250,150.850674
6.0,375,154.026319
1.0,175,155.421734
4.0,245,157.553596
4.0,278,159.857767
8.0,297,162.436103
9.0,485,166.752082
5.0,315,169.390177
15.0,447,173.929053
3.0,252,175.884304
3.0,214,177.723156
11.0,568,182.481991
13.0,567,188.248002
2.0,183,189.64581
6.0,373,192.876155
10.0,431,196.468143
4.0,300,198.914411
7.0,406,202.358349
9.0,516,206.740295
12.0,465,210.775883
7.0,394,214.077975
9.0,493,218.259979
6.0,352,221.254972
12.0,522,225.660141
14.0,697,231.886401
10.0,345,234.764457
12.0,320,237.34103
8.0,428,241.026529
10.0,518,245.455716
15.0,553,250.07199
6.0,315,252.548693
12.0,500,256.778574
12.0,321,259.450705
13.0,568,264.303265
9.0,344,267.054065
10.0,379,270.236045
19.0,667,275.852131
10.0,521,280.266241
6.0,344,283.719177
6.0,325,286.364221
14.0,507,290.653475
5.0,307,293.234757
9.0,528,297.711107
8.0,405,301.358151
12.0,597,306.576726
17.0,523,311.055091
12.0,512,315.400407
22.0,600,320.440391
11.0,438,324.224793
8.0,421,327.678612
8.0,299,330.246558
11.0,478,334.646697
9.0,505,338.80125
6.0,348,341.914014
8.0,404,345.642268
10.0,506,349.937416
8.0,448,353.561581
6.0,317,356.359669
12.0,521,360.760719
15.0,583,365.6375
4.0,264,367.841037
13.0,640,373.113204
17.0,504,377.459615
9.0,490,381.67261
19.0,633,386.992695
24.0,707,393.168644
15.0,729,399.423957
15.0,562,404.871214
15.0,598,409.832065
13.0,372,413.042998
12.0,464,417.102752
19.0,566,421.843013
13.0,550,426.388335
8.0,419,429.786223
9.0,447,433.659611
16.0,585,438.391487
10.0,499,442.774528
8.0,458,446.535665
12.0,566,451.529932
28.0,736,457.56431
9.0,485,461.763932
16.0,771,468.355769
7.0,382,471.499387
13.0,651,476.981574
9.0,331,479.624424
7.0,426,483.452108
18.0,587,488.498977
17.0,701,494.377777
9.0,467,498.437917
17.0,667,504.11219
17.0,690,509.790256
9.0,451,513.761679
6.0,339,516.337545
14.0,552,521.013986
6.0,342,524.018974
13.0,612,529.205478
16.0,697,535.025867
4.0,303,537.424588
27.0,884,544.978353
19.0,675,550.608069
19.0,654,556.173123
13.0,684,561.87399
5.0,311,564.806411
11.0,503,569.18463
12.0,524,574.091578
15.0,701,580.981762
9.0,459,584.797743
9.0,450,588.61492
13.0,485,592.555684
18.0,813,599.460477
11.0,568,604.104355
14.0,640,609.47889
16.0,696,615.327874
21.0,711,621.342114
10.0,361,624.293301
17.0,689,630.393681
21.0,730,636.911695
14.0,613,643.038289
17.0,781,650.186525
7.0,407,653.457296
16.0,737,659.83363
13.0,316,662.334907
16.0,570,667.00805
15.0,684,672.911942
10.0,541,677.33442
12.0,597,682.22243
15.0,587,687.238146
16.0,504,691.51502
15.0,727,697.565004
26.0,808,704.308632
9.0,491,708.357833
18.0,737,714.579859
15.0,588,719.312472
15.0,679,724.964519
29.0,702,730.988133
10.0,479,734.882849
16.0,737,741.539608
10.0,522,746.465253
19.0,773,754.269981
15.0,633,759.715845
8.0,460,763.399204
12.0,302,765.738943
9.0,475,770.218438
14.0,725,777.139874
9.0,472,781.032454
23.0,709,787.268508
22.0,645,792.990189
27.0,960,801.889628
13.0,660,807.44356
16.0,542,811.976965
13.0,548,816.667222
15.0,637,822.410235
15.0,697,828.443769
23.0,695,834.226616
14.0,526,839.132172
25.0,827,846.428201
29.0,863,854.098005
25.0,804,861.055719
14.0,563,865.766067
21.0,734,871.985179
