#{"t_start": 1522701142.8088071, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,3.127081
0.0,127,4.127194
2.0,224,5.937875
1.0,173,7.494483
0.0,123,8.287151
5.0,352,11.591251
4.0,319,14.194213
0.0,129,15.233886
4.0,297,17.912248
3.0,233,19.803679
4.0,275,22.324298
1.0,173,23.713162
1.0,176,25.367871
3.0,228,27.27718
0.0,127,28.384222
3.0,269,30.927437
0.0,129,32.058108
2.0,220,33.939417
0.0,127,35.021985
0.0,127,36.062653
2.0,222,37.851042
2.0,184,39.50075
0.0,127,40.330566
0.0,129,41.41976
2.0,202,43.199714
3.0,227,44.985959
4.0,297,47.580648
0.0,125,48.607687
9.0,401,52.076852
2.0,202,53.787388
6.0,398,57.319965
0.0,127,58.534651
0.0,123,59.654453
2.0,198,61.285926
0.0,125,62.420883
0.0,127,63.576696
0.0,125,64.673098
0.0,127,65.664518
5.0,350,68.503116
0.0,127,69.573808
5.0,350,72.961996
2.0,202,75.095232
1.0,155,76.785238
4.0,299,79.670283
1.0,172,81.120902
0.0,127,82.199297
7.0,325,84.94839
1.0,172,86.310359
1.0,173,87.95075
0.0,125,89.010164
4.0,299,91.584071
1.0,176,92.981486
1.0,155,94.234166
9.0,406,97.707353
0.0,125,98.771441
1.0,153,100.031325
2.0,202,101.802336
8.0,479,105.771644
0.0,123,106.826119
5.0,350,109.888221
2.0,187,111.397557
5.0,348,114.365739
5.0,350,117.187386
9.0,404,120.650482
1.0,155,121.895766
3.0,268,124.121309
6.0,396,127.472522
4.0,275,129.838892
7.0,422,133.572138
13.0,526,138.068387
3.0,214,139.68122
3.0,214,141.538564
9.0,497,145.827306
2.0,200,147.419751
3.0,218,149.350949
0.0,127,150.170547
1.0,155,151.618931
3.0,212,153.234046
11.0,472,157.391687
5.0,350,160.284942
5.0,308,163.041886
4.0,246,165.036657
9.0,404,168.515843
5.0,326,171.382208
6.0,354,175.07697
0.0,129,175.934375
3.0,231,177.894161
12.0,465,181.898798
9.0,496,186.460726
4.0,264,188.969253
1.0,178,190.526098
3.0,235,192.366713
9.0,348,195.34942
5.0,308,197.873174
11.0,472,201.972581
13.0,519,206.346491
3.0,252,208.532195
17.0,621,213.631902
6.0,325,216.570181
3.0,232,218.580128
22.0,618,223.607277
12.0,497,227.866945
8.0,402,231.577721
8.0,399,234.891912
9.0,433,238.408619
4.0,264,240.564687
10.0,523,245.024832
13.0,544,249.599871
12.0,500,253.777425
14.0,513,258.241245
8.0,409,261.573174
9.0,471,265.558255
10.0,393,268.88949
12.0,495,273.003103
12.0,320,275.579766
11.0,518,279.990756
3.0,231,282.418159
8.0,420,285.976984
12.0,520,290.365266
5.0,291,292.770128
10.0,483,296.803066
7.0,411,300.672246
7.0,413,304.128156
11.0,271,306.380691
7.0,371,309.616264
8.0,467,313.446147
19.0,630,318.920743
7.0,360,321.957835
15.0,612,326.854752
8.0,477,331.16381
10.0,551,336.092238
9.0,487,340.371955
4.0,263,342.613246
9.0,448,346.676027
9.0,501,350.914173
15.0,577,355.703241
9.0,344,358.627676
11.0,472,362.45151
7.0,371,365.686509
13.0,316,368.42952
9.0,414,371.756718
14.0,547,376.373725
12.0,522,380.700337
15.0,525,385.304228
11.0,548,390.011915
10.0,373,393.15678
11.0,579,398.121126
12.0,564,403.345127
8.0,422,407.141337
8.0,440,410.775172
12.0,520,415.24147
10.0,448,418.949214
11.0,271,421.161815
12.0,557,425.973916
13.0,569,430.647031
19.0,631,435.985285
13.0,651,441.488683
9.0,472,445.425882
7.0,379,448.664121
14.0,576,453.651992
15.0,711,459.528056
10.0,540,464.162632
12.0,455,468.070907
12.0,559,472.627608
8.0,427,476.096509
14.0,639,481.799354
13.0,552,486.514665
20.0,674,492.180548
15.0,612,497.451933
13.0,333,500.106365
11.0,271,502.302907
15.0,542,507.081426
17.0,683,512.794406
17.0,667,518.339703
16.0,587,523.351244
11.0,490,527.501375
19.0,749,533.886065
26.0,706,539.65775
8.0,427,543.435191
19.0,602,548.427223
20.0,714,554.547127
13.0,545,559.025979
15.0,579,563.901868
13.0,545,568.955976
19.0,658,575.456236
10.0,359,578.929185
16.0,653,584.474473
16.0,683,590.132262
13.0,604,595.243517
15.0,397,598.513119
18.0,716,604.369283
12.0,633,609.715997
15.0,537,614.22223
17.0,726,620.387726
