total/duration,train/loss_critic,obs_rms_mean,reference_actor_Q_mean,obs_rms_std,rollout/return_history,rollout/return,rollout/episodes,total/steps,reference_perturbed_action_std,total/episodes,rollout/Q_mean,reference_Q_std,reference_Q_mean,rollout/actions_std,reference_action_mean,total/epochs,rollout/actions_mean,param_noise_stddev,reference_action_std,reference_perturbed_action_mean,train/loss_actor,rollout/episode_steps,total/steps_per_second,train/param_noise_distance,reference_actor_Q_std
8.814640283584595,0.8855016827583313,-0.9574803709983826,-6.7230939865112305,5.350054740905762,-56.17502260718444,-56.17502260718444,40.0,2000,0.5050682425498962,40.0,-4.173859596252441,1.7391401529312134,-7.264508247375488,0.6831337213516235,0.14833283424377441,1,-0.06954671442508698,0.1639088940674591,0.7371400594711304,0.5244721174240112,6.525076866149902,50.0,226.89524877431214,1.0037786960601807,1.6847553253173828
17.443729877471924,1.3307695388793945,0.03908452391624451,-9.214498519897461,4.921938419342041,-50.07887510697225,-50.07887510697225,80.0,4000,0.5236674547195435,80.0,-5.921986103057861,2.3100972175598145,-9.898653030395508,0.638073742389679,0.22861334681510925,2,0.0025633240584284067,0.13433062777208762,0.37246716022491455,0.46574071049690247,8.707449913024902,50.0,229.30875610301013,0.8444263935089111,2.39491605758667
25.972599983215332,1.1411882638931274,0.17725329101085663,-8.402276039123535,4.755993843078613,-43.75191429515933,-46.014105690043216,120.0,6000,0.24126307666301727,120.0,-6.724225044250488,3.3866896629333496,-9.274503707885742,0.6064040064811707,0.039454467594623566,3,0.02439403347671032,0.11008992318755192,0.1627475470304489,-0.48633450269699097,7.787153720855713,50.0,231.01268274556537,0.5388707518577576,3.5909156799316406
34.88039040565491,1.0030869245529175,0.18960215151309967,-7.0199971199035645,4.649111270904541,-37.019984034204924,-42.653739100264644,160.0,8000,0.42146462202072144,160.0,-6.878955364227295,3.432271957397461,-7.9951863288879395,0.578576922416687,0.06535153090953827,4,0.020175574347376823,0.09022358778821578,0.17117784917354584,0.08087901771068573,6.5992841720581055,50.0,229.35523103270705,0.3271760642528534,3.3895764350891113
43.77738642692566,0.6936177611351013,0.2102953940629959,-6.091218948364258,4.4065680503845215,-29.787298837499137,-38.834919737796184,200.0,10000,0.3515017032623291,200.0,-6.981459140777588,2.4225149154663086,-6.989072322845459,0.5436174869537354,0.015157291665673256,5,0.031298622488975525,0.07394224246582377,0.16157403588294983,-0.10292433947324753,5.75204610824585,50.0,228.42843797201684,0.30220672488212585,2.399554491043091
52.23092699050903,0.6098811626434326,0.12226450443267822,-5.019285202026367,4.272044658660889,-24.66043366820262,-36.1751811344424,240.0,12000,0.1954415738582611,240.0,-6.657811641693115,1.9219177961349487,-5.89859676361084,0.5198885798454285,-0.011767287738621235,6,0.018080372363328934,0.060598955937205407,0.16289065778255463,0.021526388823986053,4.936800956726074,50.0,229.74893786933055,0.38746243715286255,1.8783766031265259
60.386075496673584,0.45856091380119324,0.08309915661811829,-4.344290733337402,4.105888843536377,-20.488193544091278,-33.60563864192098,280.0,14000,0.3418741524219513,280.0,-6.36047887802124,1.777539610862732,-5.292975425720215,0.49529436230659485,0.02570168301463127,7,0.006943381391465664,0.05066177638540577,0.2292744517326355,-0.0654713585972786,4.174720287322998,50.0,231.84152778352356,0.20547987520694733,1.7260735034942627
68.48861908912659,0.39381352066993713,0.12253344804048538,-4.139983177185059,3.938011407852173,-18.605277363134597,-31.532723591539927,320.0,16000,0.29779109358787537,320.0,-6.0900349617004395,1.6927947998046875,-5.098617076873779,0.4741362929344177,-0.010862791910767555,8,0.006444615311920643,0.04407386942827646,0.16837823390960693,-0.15846513211727142,4.081589221954346,50.0,233.61545630199745,0.23522762954235077,1.5936437845230103
77.43057346343994,0.31263354420661926,0.13826435804367065,-3.7271642684936523,3.800839424133301,-17.12086174114886,-29.836769733029975,360.0,18000,0.18090425431728363,360.0,-5.877979278564453,1.5255542993545532,-4.661096096038818,0.45528537034988403,-0.040386274456977844,9,0.0052530812099576,0.040701478966889394,0.14778795838356018,-0.16661319136619568,3.8821287155151367,50.0,232.46631394895948,0.1699329912662506,1.5347955226898193
86.1834762096405,0.3699931800365448,0.15639550983905792,-3.6604089736938477,3.6643946170806885,-15.434987180064654,-28.226381159037864,400.0,20000,0.24592570960521698,400.0,-5.697299003601074,1.5639948844909668,-4.539342403411865,0.4365157186985016,0.008721249178051949,10,0.006249438039958477,0.04151957869412388,0.13146863877773285,0.0016530603170394897,3.6960108280181885,50.0,232.0630459526857,0.14815753698349,1.6059614419937134
94.81846809387207,0.30529600381851196,0.1561405062675476,-3.5032753944396973,3.559922933578491,-13.842310222480656,-26.883697715081432,440.0,22000,0.186391681432724,440.0,-5.550622463226318,1.3805568218231201,-4.399724960327148,0.42125552892684937,0.0023636072874069214,11,0.0061391983181238174,0.04151957869412388,0.1279306411743164,-0.15413041412830353,3.684708833694458,50.0,232.02231002318646,0.17603066563606262,1.451520323753357
103.93119192123413,0.30582866072654724,0.1712428480386734,-3.3003149032592773,3.461995840072632,-13.496036516449228,-25.792096348062827,480.0,24000,0.20588375627994537,480.0,-5.438709735870361,1.3511123657226562,-4.187884330749512,0.4073198735713959,0.010894996114075184,12,0.008198334835469723,0.040701478966889394,0.13192260265350342,0.02846989966928959,3.619503974914551,50.0,230.92201250023933,0.31799688935279846,1.422148585319519
