Average reward
-1203.693190229769
-1230.5521985708751
-1194.9628375466639
-1216.110008875564
-1298.0039545556256
-1270.3335504897589
-1207.4992897580391
-1218.3511147450065
-1119.2700144123226
-1203.3818455434593
-1100.049064873647
-1117.4151558466538
-1173.2948358833669
-1170.8749158149135
-1245.0073223853228
-1140.1601440325535
-1315.8620057543917
-1360.2866084722486
-1111.1212450684302
-1123.5744990012292
-1158.6909952794354
-1114.3629624739237
-1205.0188508608383
-1085.4990445676854
-1184.1800468522838
-1147.3087850083382
-1214.1542980040688
-1191.1207127188213
-1090.886083115165
-1200.3597390288955
-1184.690799544593
-1162.4366163159812
-1159.5311118127613
-1206.3933927686785
-1201.868806750658
-1242.7073208726267
-1172.7672944002795
-1120.6048762970552
-1205.4732098245222
-1229.1229069414826
-1186.6200530684587
-1172.5269772394402
-1139.2862252398086
-1120.7897595325162
-1092.9381751725223
-1130.5667042911116
-1217.7278239199366
-1169.0039684843114
-1138.5722606500074
-1169.7987027260426
-1101.8260247053126
-1165.1844810103464
-1092.4294083326856
-1171.9436265175214
-1235.3553938809368
-1172.680001209204
-1163.5039512021854
-1139.5667564879873
-1125.8632877162895
-1164.4179627668548
-1166.602666957714
-1242.4252195018191
-1108.5857101326014
-1232.6992354087502
-1075.5734787352264
-1132.4472832609908
-1168.2256023939447
-1188.663427410068
-1148.8563356433128
-1171.2924963685173
-1121.0657102998068
-1285.9378926675504
-1081.0474181582438
-1182.8746915867364
-1116.2338029749524
-1143.8483912882841
-1228.3299545942514
-1090.1224569576357
-1252.257440994329
-1191.1670377906894
-1173.1316725530958
-1113.8020090473733
-1227.7041880166141
-1162.3872306254857
-1080.4170546023843
-1111.6140709618846
-1141.719227378297
-1107.7692938489547
-1157.2943003597065
-1240.8087893611093
-1119.94884496283
-1213.3383694885213
-1194.2690156833908
-1098.6114164363962
-1116.031231877455
-1104.9819391274746
-1180.4284155433122
-1188.027827262307
-1156.7556591659963
-1164.2568971280664
-1147.781223222201
-1163.8032177306225
-1237.9865546454594
-1078.744195817617
-1195.3049008580206
-1157.00980842037
-1217.9501571617297
-1111.3331076592046
-1262.385394148376
-1200.7801776419892
-1164.2239546741773
-1207.9131414147853
-1158.111648127505
-1215.3179610218442
-1102.7050942311469
-1146.4225138164115
-1272.9288246683097
-1169.9731083543006
-1235.6303577363126
-1142.6212663523677
-1092.5483351760797
-1065.7072560644547
-1115.5124575078712
-1194.7649325972898
-1114.2515211008088
-1246.4820904660685
-1283.2773215695272
-1119.6231680443466
-1120.8090103518769
-1161.863975852281
-1267.0909888594126
-1112.606547527666
-1065.817013241767
-1090.7680798680924
-1106.9344398549752
-1133.289704602125
-1134.1846867625623
-1076.5288746727465
-1141.0163135713267
-1042.4239397769895
-1130.38757662318
-1201.2871115897892
-1130.0442926867804
-1150.7776296944414
-1123.8039157493197
-1118.6420568679928
-1137.2816912783564
-1175.69745922329
-1185.26171097634
-1122.9036252544552
-1103.4394775184098
-1122.4234275553717
-1140.0708899389795
-1065.0868688437865
-1240.7335219290183
-1218.919639282978
-1104.8146695218672
-1080.3475783292745
-1158.9349393137993
-1241.387788691
-1183.9728789060189
-1208.9559093940197
-1104.5371333898822
-1232.2809622136685
-1069.1209596091512
-1169.3683933710827
-1092.2370572613556
-1246.9279837207348
-1275.6526874893243
-1143.7568754651552
-1211.1671817457996
-1106.3695054093048
-1109.1434299107304
-1127.4693452791419
-1108.2516410570051
-1127.8380688916488
-1139.134982515399
-1120.987060222259
-1147.0016654130375
-1117.5494598486116
-1046.7656025522176
-1114.6984093070316
-1096.110263851189
-1123.6061389076424
-1105.4063461177711
-1141.0667927383088
-1212.484613841754
-1195.3307827491424
-1237.260977787057
-1148.3445219783937
-1214.6070433501332
-1150.3622894086468
-1244.810723434705
-1113.8232545520732
-1099.9238190258966
-1247.4168958492291
-1132.4245282723678
-1102.4492850720358
-1049.1044977927147
-1014.667819641821
