time_elapsed,approxkl,fps,nupdates,clipfrac,total_timesteps,explained_variance,serial_timesteps,eplenmean,eprewmean,policy_entropy,value_loss,policy_loss
52.81618332862854,0.007981143,1427,38,0.103710935,77824,0.7831983417272568,77824,50.0,-24.898074230000006,0.520261,0.0010716243,-0.010807547
54.17585277557373,0.008013023,1506,39,0.09121094,79872,0.7926164418458939,79872,50.0,-23.77306419,0.45241347,0.0009962136,-0.012311528
55.51235628128052,0.008877731,1532,40,0.113867186,81920,0.7778834253549576,81920,50.0,-22.791027810000006,0.38912833,0.0008767151,-0.011911961
56.87558603286743,0.009873081,1502,41,0.1222168,83968,0.7726853340864182,83968,50.0,-21.772303770000008,0.33190423,0.0007652306,-0.015008924
58.264079570770264,0.008421619,1475,42,0.09677734,86016,0.8561410754919052,86016,50.0,-20.8422405,0.28036126,0.0005476166,-0.012646884
59.76223278045654,0.0080386475,1371,43,0.103320315,88064,0.7905585467815399,88064,50.0,-20.762487610000004,0.23168457,0.00059218536,-0.010371094
61.27521634101868,0.010613257,1353,44,0.13115235,90112,0.8004558831453323,90112,50.0,-20.71407638,0.18793762,0.0005945824,-0.012446394
62.699745416641235,0.009877339,1438,45,0.12514648,92160,0.823152706027031,92160,50.0,-20.502156529999997,0.14381512,0.00052399165,-0.012366438
64.10460948944092,0.008030958,1458,46,0.10405274,94208,0.8529451638460159,94208,50.0,-20.00480919,0.09167932,0.00046269145,-0.011341312
65.5319516658783,0.0082185995,1435,47,0.103759766,96256,0.8593241423368454,96256,50.0,-19.812741869999996,0.039521836,0.00047440515,-0.009133489
66.92238974571228,0.009610576,1473,48,0.122802734,98304,0.8618979454040527,98304,50.0,-19.74047155,-0.0117132,0.0004923813,-0.014219108
68.3060667514801,0.007463795,1480,49,0.089697264,100352,0.8666734546422958,100352,50.0,-19.38955562,-0.06734342,0.00038970052,-0.008341551
69.666588306427,0.008329761,1505,50,0.10615234,102400,0.8470905274152756,102400,50.0,-18.542478920000004,-0.11838744,0.00040014694,-0.012676029
71.06265902519226,0.009383554,1467,51,0.10844727,104448,0.8450896441936493,104448,50.0,-18.00446813,-0.18569072,0.00045200842,-0.012626844
72.45321655273438,0.009145283,1473,52,0.11674805,106496,0.8563352078199387,106496,50.0,-17.33610986,-0.23918721,0.00037113664,-0.012289206
73.8896050453186,0.009192271,1426,53,0.11899414,108544,0.8844372481107712,108544,50.0,-17.120762179999996,-0.25668857,0.00024419054,-0.011662042
75.36505913734436,0.00920986,1388,54,0.12460937,110592,0.7932515740394592,110592,50.0,-17.04594432,-0.26562694,0.00034066263,-0.01106031
76.88039064407349,0.009726613,1351,55,0.12460937,112640,0.8160174190998077,112640,50.0,-17.625882909999998,-0.28820872,0.0003624234,-0.012664467
78.22508573532104,0.0107112555,1523,56,0.13579102,114688,0.7925944924354553,114688,50.0,-17.28683083,-0.33340013,0.00042577623,-0.016584996
79.56923079490662,0.009561108,1524,57,0.125,116736,0.8431438654661179,116736,50.0,-16.233377039999997,-0.37394825,0.00032341506,-0.0106578935
80.90970182418823,0.010180617,1528,58,0.13212891,118784,0.842015266418457,118784,50.0,-15.536813830000002,-0.41713056,0.0002934107,-0.012062212
82.25626349449158,0.009099612,1521,59,0.11381836,120832,0.8577122837305069,120832,50.0,-15.591532859999997,-0.468561,0.00027839915,-0.013143475
83.69094252586365,0.00975053,1427,60,0.13251953,122880,0.7995435446500778,122880,50.0,-15.117966699999997,-0.5073449,0.00035569607,-0.011157496
85.13956308364868,0.010505656,1414,61,0.13515624,124928,0.8328392058610916,124928,50.0,-14.9451936,-0.53584707,0.00031532202,-0.013555941
86.59448313713074,0.011043068,1408,62,0.14038086,126976,0.8406323790550232,126976,50.0,-14.96112911,-0.562878,0.00032347842,-0.011800707
88.0059916973114,0.010112102,1451,63,0.12104492,129024,0.8744795471429825,129024,50.0,-15.03969113,-0.5999824,0.00024074016,-0.010049012
89.42925977706909,0.012739897,1444,64,0.15732422,131072,0.8335601687431335,131072,50.0,-14.975399970000003,-0.6447663,0.00027319248,-0.014394373
91.02389216423035,0.010893259,1284,65,0.14003906,133120,0.8187358230352402,133120,50.0,-14.323463330000003,-0.6925545,0.0002783052,-0.009489945
92.52022814750671,0.010475514,1369,66,0.12568359,135168,0.8543424159288406,135168,50.0,-13.979469559999998,-0.7469221,0.00024700767,-0.010050209
94.02963399887085,0.01057688,1357,67,0.13969727,137216,0.8462323099374771,137216,50.0,-14.30120228,-0.79069126,0.00027193705,-0.011525294
95.55498099327087,0.011596113,1342,68,0.14780274,139264,0.8142960369586945,139264,50.0,-14.4410145,-0.8352536,0.00030090075,-0.012985798
97.06412315368652,0.01020395,1357,69,0.13354492,141312,0.8458046168088913,141312,50.0,-13.774794679999998,-0.8767341,0.00022967237,-0.009394163
98.55151534080505,0.011101087,1377,70,0.14501953,143360,0.872995525598526,143360,50.0,-13.48924478,-0.910467,0.00017663176,-0.012989767
